SCHOOL NAME,DISTrictNUMBER,DISTRICT NAME,EMH,EMH-Combined,SCHOOL NUMBER,rate_at.5_chng_ach,rate_at.5_chng_gro,pct_pts_chng_.5
KNOWLEDGE QUEST ACADEMY                                     ,3110,JOHNSTOWN-MILLIKEN RE-5J  ,M,   ,4785,3,3,3
KOHL ELEMENTARY SCHOOL                                      ,480,BOULDER VALLEY RE 2       ,E,   ,4792,2,2,2
KRUSE ELEMENTARY SCHOOL                                     ,1550,POUDRE R-1                ,E,   ,4793,2,2,2
KUNSMILLER CREATIVE ARTS ACADEMY                            ,880,DENVER COUNTY 1           ,E,   ,4795,2,3,3
KUNSMILLER CREATIVE ARTS ACADEMY                            ,880,DENVER COUNTY 1           ,M,   ,4795,3,2,2
CONNECTIONS LEARNING CENTER ON THE EARLE JOHNSON CAMPUS     ,1420,JEFFERSON COUNTY R-1      ,A,MH ,4798,,,3
CONNECTIONS LEARNING CENTER ON THE EARLE JOHNSON CAMPUS     ,1420,JEFFERSON COUNTY R-1      ,H,   ,4798,,,3
KULLERSTRAND ELEMENTARY SCHOOL                              ,1420,JEFFERSON COUNTY R-1      ,E,   ,4802,3,1,1
KYFFIN ELEMENTARY SCHOOL                                    ,1420,JEFFERSON COUNTY R-1      ,E,   ,4830,3,3,3
LA JARA ELEMENTARY SCHOOL                                   ,550,NORTH CONEJOS RE-1J       ,E,   ,4836,1,1,1
LA JARA SECOND CHANCE SCHOOL                                ,550,NORTH CONEJOS RE-1J       ,A,MH ,4837,,,1
LA JARA SECOND CHANCE SCHOOL                                ,550,NORTH CONEJOS RE-1J       ,H,   ,4837,,,1
JUNE CREEK ELEMENTARY SCHOOL                                ,910,EAGLE COUNTY RE 50        ,E,   ,4838,3,2,2
LA JUNTA INTERMEDIATE SCHOOL                                ,2520,EAST OTERO R-1            ,E,   ,4841,2,2,2
PETE MIRICH ELEMENTARY SCHOOL                               ,3080,WELD COUNTY RE-1          ,E,   ,4852,2,1,1
NORTH VALLEY MIDDLE SCHOOL                                  ,3080,WELD COUNTY RE-1          ,M,   ,4854,1,2,1
LA VETA ELEMENTARY SCHOOL                                   ,1400,LA VETA RE-2              ,E,   ,4860,2,2,2
LA VETA JUNIOR-SENIOR HIGH SCHOOL                           ,1400,LA VETA RE-2              ,H,   ,4864,1,3,2
LA VETA JUNIOR-SENIOR HIGH SCHOOL                           ,1400,LA VETA RE-2              ,M,   ,4864,3,3,3
LAFAYETTE ELEMENTARY SCHOOL                                 ,480,BOULDER VALLEY RE 2       ,E,   ,4874,2,1,2
ANGEVINE MIDDLE SCHOOL                                      ,480,BOULDER VALLEY RE 2       ,M,   ,4878,2,3,3
LAKE CITY COMMUNITY SCHOOL                                  ,1380,HINSDALE COUNTY RE 1      ,E,   ,4899,3,,3
LAKE CITY COMMUNITY SCHOOL                                  ,1380,HINSDALE COUNTY RE 1      ,H,   ,4899,,,2
LAKE COUNTY MIDDLE SCHOOL                                   ,1510,LAKE COUNTY R-1           ,E,   ,4901,2,1,2
LAKE COUNTY MIDDLE SCHOOL                                   ,1510,LAKE COUNTY R-1           ,M,   ,4901,2,1,1
LAKE COUNTY HIGH SCHOOL                                     ,1510,LAKE COUNTY R-1           ,H,   ,4904,3,2,2
LAKE GEORGE CHARTER SCHOOL                                  ,2610,PARK COUNTY RE-2          ,E,   ,4908,2,,3
LAKE MIDDLE SCHOOL                                          ,880,DENVER COUNTY 1           ,M,   ,4910,3,3,3
LAKEWOOD HIGH SCHOOL                                        ,1420,JEFFERSON COUNTY R-1      ,H,   ,4942,2,1,2
LANDMARK ACADEMY AT REUNION                                 ,40,BRIGHTON 27J              ,E,   ,4950,2,2,2
LANDMARK ACADEMY AT REUNION                                 ,40,BRIGHTON 27J              ,M,   ,4950,2,1,2
LAMAR MIDDLE SCHOOL                                         ,2660,LAMAR RE-2                ,M,   ,4956,3,2,3
LAMAR HIGH SCHOOL                                           ,2660,LAMAR RE-2                ,H,   ,4960,3,3,3
LANSING ELEMENTARY SCHOOL                                   ,180,ADAMS-ARAPAHOE 28J        ,E,   ,4970,2,1,1
LAREDO ELEMENTARY SCHOOL                                    ,180,ADAMS-ARAPAHOE 28J        ,E,   ,4973,2,3,3
LAREDO MIDDLE SCHOOL                                        ,130,CHERRY CREEK 5            ,M,   ,4975,2,1,1
LARKSPUR ELEMENTARY SCHOOL                                  ,900,DOUGLAS COUNTY RE 1       ,E,   ,4980,2,2,2
LAS ANIMAS MIDDLE SCHOOL                                    ,290,LAS ANIMAS RE-1           ,M,   ,4986,1,1,1
LAS ANIMAS HIGH SCHOOL                                      ,290,LAS ANIMAS RE-1           ,H,   ,4990,2,1,1
LASLEY ELEMENTARY SCHOOL                                    ,1420,JEFFERSON COUNTY R-1      ,E,   ,5004,2,3,3
LAUREL ELEMENTARY SCHOOL                                    ,1550,POUDRE R-1                ,E,   ,5014,2,1,1
LA JUNTA JR/SR HIGH SCHOOL                                  ,2520,EAST OTERO R-1            ,H,   ,5015,2,2,2
LA JUNTA JR/SR HIGH SCHOOL                                  ,2520,EAST OTERO R-1            ,M,   ,5015,2,2,2
LAURENE EDMONDSON ELEMENTARY SCHOOL                         ,1560,THOMPSON R2-J             ,E,   ,5018,3,3,3
LAWRENCE ELEMENTARY SCHOOL                                  ,1420,JEFFERSON COUNTY R-1      ,E,   ,5024,3,2,2
JAMES MADISON CHARTER ACADEMY SCHOOL                        ,990,WIDEFIELD 3               ,E,   ,5033,3,2,3
LEAWOOD ELEMENTARY SCHOOL                                   ,1420,JEFFERSON COUNTY R-1      ,E,   ,5036,2,1,2
LEGACY HIGH SCHOOL                                          ,20,ADAMS 12 FIVE STAR SCHOOLS,H,   ,5043,2,2,2
LEGACY POINT ELEMENTARY SCHOOL                              ,900,DOUGLAS COUNTY RE 1       ,E,   ,5045,2,1,2
LEMUEL PITTS MIDDLE SCHOOL                                  ,2690,PUEBLO CITY 60            ,M,   ,5048,1,3,2
LEO WILLIAM BUTLER ELEMENTARY SCHOOL                        ,3140,WELD COUNTY S/D RE-8      ,E,   ,5050,2,2,2
LEROY DRIVE ELEMENTARY SCHOOL                               ,20,ADAMS 12 FIVE STAR SCHOOLS,E,   ,5058,2,1,1
LESHER MIDDLE SCHOOL                                        ,1550,POUDRE R-1                ,M,   ,5068,2,2,2
LETFORD ELEMENTARY SCHOOL                                   ,3110,JOHNSTOWN-MILLIKEN RE-5J  ,E,   ,5078,3,2,2
LEWIS-ARRIOLA ELEMENTARY SCHOOL                             ,2035,MONTEZUMA-CORTEZ RE-1     ,E,   ,5090,3,3,3
MONUMENT CHARTER ACADEMY                                    ,1080,LEWIS-PALMER 38           ,E,   ,5093,2,2,2
MONUMENT CHARTER ACADEMY                                    ,1080,LEWIS-PALMER 38           ,M,   ,5093,2,1,1
LEWIS-PALMER ELEMENTARY SCHOOL                              ,1080,LEWIS-PALMER 38           ,E,   ,5096,2,1,2
LEWIS-PALMER MIDDLE SCHOOL                                  ,1080,LEWIS-PALMER 38           ,M,   ,5098,2,1,1
LEWIS-PALMER HIGH SCHOOL                                    ,1080,LEWIS-PALMER 38           ,H,   ,5100,2,2,2
JEFFERSON INTERMEDIATE SCHOOL                               ,2530,ROCKY FORD R-2            ,E,   ,5114,2,2,2
LIBERTY ELEMENTARY SCHOOL                                   ,3230,LIBERTY J-4               ,E,   ,5119,3,,3
LIBERTY COMMON CHARTER SCHOOL                               ,1550,POUDRE R-1                ,E,   ,5120,2,3,2
LIBERTY COMMON CHARTER SCHOOL                               ,1550,POUDRE R-1                ,H,   ,5120,2,2,2
LIBERTY COMMON CHARTER SCHOOL                               ,1550,POUDRE R-1                ,M,   ,5120,2,2,2
LIBERTY JUNIOR-SENIOR HIGH SCHOOL                           ,3230,LIBERTY J-4               ,H,   ,5123,,,3
LIBERTY HIGH SCHOOL                                         ,1040,ACADEMY 20                ,H,   ,5126,2,1,1
LIFE SKILLS CENTER OF DENVER                                ,880,DENVER COUNTY 1           ,H,   ,5129,1,,1
LIMON ELEMENTARY SCHOOL                                     ,1790,LIMON RE-4J               ,E,   ,5132,2,2,2
LIMON JUNIOR-SENIOR HIGH SCHOOL                             ,1790,LIMON RE-4J               ,H,   ,5136,3,2,2
LIMON JUNIOR-SENIOR HIGH SCHOOL                             ,1790,LIMON RE-4J               ,M,   ,5136,2,2,2
LINCOLN CHARTER ACADEMY                                     ,1420,JEFFERSON COUNTY R-1      ,E,   ,5145,2,1,1
LINCOLN CHARTER ACADEMY                                     ,1420,JEFFERSON COUNTY R-1      ,H,   ,5145,,,2
LINCOLN CHARTER ACADEMY                                     ,1420,JEFFERSON COUNTY R-1      ,M,   ,5145,2,1,1
LIFE SKILLS CENTER OF COLORADO SPRINGS                      ,1010,COLORADO SPRINGS 11       ,H,   ,5146,,,2
LINCOLN ELEMENTARY SCHOOL                                   ,870,DELTA COUNTY 50(J)        ,E,   ,5154,1,2,1
LINCOLN ELEMENTARY SCHOOL                                   ,880,DENVER COUNTY 1           ,E,   ,5158,3,2,1
LINCOLN ELEMENTARY SCHOOL                                   ,1010,COLORADO SPRINGS 11       ,E,   ,5162,1,3,3
LINCOLN ELEMENTARY SCHOOL                                   ,1140,CANON CITY RE-1           ,E,   ,5166,2,3,3
LINCOLN MIDDLE SCHOOL                                       ,1550,POUDRE R-1                ,M,   ,5168,3,2,2
LINCOLN ELEMENTARY SCHOOL                                   ,1560,THOMPSON R2-J             ,E,   ,5170,2,1,1
LINCOLN HIGH SCHOOL                                         ,2405,FORT MORGAN RE-3          ,H,   ,5180,,,1
LINTON ELEMENTARY SCHOOL                                    ,1550,POUDRE R-1                ,E,   ,5196,1,1,1
LINCOLN ORCHARD MESA ELEMENTARY SCHOOL                      ,2000,MESA COUNTY VALLEY 51     ,E,   ,5210,2,3,2
LITTLE ELEMENTARY SCHOOL                                    ,1420,JEFFERSON COUNTY R-1      ,E,   ,5222,2,3,3
LITTLETON HIGH SCHOOL                                       ,140,LITTLETON 6               ,H,   ,5224,2,2,2
LITTLETON ACADEMY                                           ,140,LITTLETON 6               ,E,   ,5229,2,1,1
LITTLETON ACADEMY                                           ,140,LITTLETON 6               ,M,   ,5229,2,2,2
LITTLETON PREP CHARTER SCHOOL                               ,140,LITTLETON 6               ,E,   ,5233,2,2,2
LITTLETON PREP CHARTER SCHOOL                               ,140,LITTLETON 6               ,M,   ,5233,2,2,1
LIVERMORE ELEMENTARY SCHOOL                                 ,1550,POUDRE R-1                ,E,   ,5234,2,,2
LOIS LENSKI ELEMENTARY SCHOOL                               ,140,LITTLETON 6               ,E,   ,5236,2,1,1
LONE STAR MIDDLE SCHOOL                                     ,3060,LONE STAR 101             ,M,   ,5238,1,,1
LOMA ELEMENTARY SCHOOL                                      ,2000,MESA COUNTY VALLEY 51     ,E,   ,5244,2,1,2
LOMA LINDA ELEMENTARY SCHOOL                                ,470,ST VRAIN VALLEY RE 1J     ,E,   ,5246,2,2,2
LAKE INTERNATIONAL SCHOOL                                   ,880,DENVER COUNTY 1           ,M,   ,5255,2,2,2
LONE STAR UNDIVIDED HIGH SCHOOL                             ,3060,LONE STAR 101             ,H,   ,5258,,,3
LONGFELLOW ELEMENTARY SCHOOL                                ,500,SALIDA R-32               ,E,   ,5268,2,2,2
LONGMONT HIGH SCHOOL                                        ,470,ST VRAIN VALLEY RE 1J     ,H,   ,5282,2,1,2
LONGMONT ESTATES ELEMENTARY SCHOOL                          ,470,ST VRAIN VALLEY RE 1J     ,E,   ,5284,3,3,3
SUNSET MIDDLE SCHOOL                                        ,470,ST VRAIN VALLEY RE 1J     ,M,   ,5286,2,3,3
LONGS PEAK MIDDLE SCHOOL                                    ,470,ST VRAIN VALLEY RE 1J     ,M,   ,5288,2,3,2
LOPEZ ELEMENTARY SCHOOL                                     ,1550,POUDRE R-1                ,E,   ,5292,2,2,2
LOTUS SCHOOL FOR EXCELLENCE                                 ,180,ADAMS-ARAPAHOE 28J        ,E,   ,5298,2,2,2
LOTUS SCHOOL FOR EXCELLENCE                                 ,180,ADAMS-ARAPAHOE 28J        ,H,   ,5298,2,2,2
LOTUS SCHOOL FOR EXCELLENCE                                 ,180,ADAMS-ARAPAHOE 28J        ,M,   ,5298,1,1,1
LOUISVILLE ELEMENTARY SCHOOL                                ,480,BOULDER VALLEY RE 2       ,E,   ,5302,2,2,3
LOUISVILLE MIDDLE SCHOOL                                    ,480,BOULDER VALLEY RE 2       ,M,   ,5306,2,2,2
BILL REED MIDDLE SCHOOL                                     ,1560,THOMPSON R2-J             ,M,   ,5312,2,2,2
LOVELAND HIGH SCHOOL                                        ,1560,THOMPSON R2-J             ,H,   ,5316,2,2,2
LUCILE ERWIN MIDDLE SCHOOL                                  ,1560,THOMPSON R2-J             ,M,   ,5335,2,2,2
LOWRY ELEMENTARY SCHOOL                                     ,880,DENVER COUNTY 1           ,E,   ,5342,2,2,2
LUKAS ELEMENTARY SCHOOL                                     ,1420,JEFFERSON COUNTY R-1      ,E,   ,5350,3,2,2
LUMBERG ELEMENTARY SCHOOL                                   ,1420,JEFFERSON COUNTY R-1      ,E,   ,5354,3,3,3
LYN KNOLL ELEMENTARY SCHOOL                                 ,180,ADAMS-ARAPAHOE 28J        ,E,   ,5361,3,2,2
LYONS ELEMENTARY SCHOOL                                     ,470,ST VRAIN VALLEY RE 1J     ,E,   ,5364,2,1,1
LYONS MIDDLE/SENIOR HIGH SCHOOL                             ,470,ST VRAIN VALLEY RE 1J     ,H,   ,5368,2,2,2
LYONS MIDDLE/SENIOR HIGH SCHOOL                             ,470,ST VRAIN VALLEY RE 1J     ,M,   ,5368,3,3,3
M. SCOTT CARPENTER MIDDLE SCHOOL                            ,70,WESTMINSTER 50            ,M,   ,5388,2,3,2
MADISON ELEMENTARY SCHOOL                                   ,1010,COLORADO SPRINGS 11       ,E,   ,5404,2,2,1
EDCSD: COLORADO CYBER SCHOOL                                ,900,DOUGLAS COUNTY RE 1       ,H,   ,5405,2,1,1
EDCSD: COLORADO CYBER SCHOOL                                ,900,DOUGLAS COUNTY RE 1       ,M,   ,5405,1,1,1
MADISON ELEMENTARY SCHOOL                                   ,3120,GREELEY 6                 ,E,   ,5412,2,3,3
MADISON EXPLORATORY SCHOOL                                  ,1140,CANON CITY RE-1           ,E,   ,5414,3,3,3
ROCKY MOUNTAIN DEAF SCHOOL                                  ,1420,JEFFERSON COUNTY R-1      ,A,EMH,5415,,,1
ROCKY MOUNTAIN DEAF SCHOOL                                  ,1420,JEFFERSON COUNTY R-1      ,M,   ,5415,1,,1
MALLEY DRIVE ELEMENTARY SCHOOL                              ,20,ADAMS 12 FIVE STAR SCHOOLS,E,   ,5418,2,2,1
MANASSA ELEMENTARY SCHOOL                                   ,550,NORTH CONEJOS RE-1J       ,E,   ,5422,2,1,1
MANNY MARTINEZ MIDDLE SCHOOL                                ,880,DENVER COUNTY 1           ,M,   ,5430,3,3,3
MANAUGH ELEMENTARY SCHOOL                                   ,2035,MONTEZUMA-CORTEZ RE-1     ,E,   ,5436,2,1,1
MANCOS ELEMENTARY SCHOOL                                    ,2070,MANCOS RE-6               ,E,   ,5446,2,1,1
MANUAL HIGH SCHOOL                                          ,880,DENVER COUNTY 1           ,H,   ,5448,2,2,3
MANCOS MIDDLE SCHOOL                                        ,2070,MANCOS RE-6               ,M,   ,5450,2,2,3
MANCOS HIGH SCHOOL                                          ,2070,MANCOS RE-6               ,H,   ,5452,3,3,2
MANDALAY MIDDLE SCHOOL                                      ,1420,JEFFERSON COUNTY R-1      ,M,   ,5454,3,2,2
MANITOU SPRINGS ELEMENTARY SCHOOL                           ,1030,MANITOU SPRINGS 14        ,E,   ,5460,2,2,2
MANITOU SPRINGS MIDDLE SCHOOL                               ,1030,MANITOU SPRINGS 14        ,M,   ,5464,2,2,1
MANITOU SPRINGS HIGH SCHOOL                                 ,1030,MANITOU SPRINGS 14        ,H,   ,5468,1,2,2
MANNING OPTIONS SCHOOL                                      ,1420,JEFFERSON COUNTY R-1      ,M,   ,5472,2,2,2
MANZANOLA ELEMENTARY SCHOOL                                 ,2535,MANZANOLA 3J              ,E,   ,5498,3,3,3
MANZANOLA JUNIOR-SENIOR HIGH SCHOOL                         ,2535,MANZANOLA 3J              ,H,   ,5506,1,1,3
MANZANOLA JUNIOR-SENIOR HIGH SCHOOL                         ,2535,MANZANOLA 3J              ,M,   ,5506,1,,1
MAPLE GROVE ELEMENTARY SCHOOL                               ,1420,JEFFERSON COUNTY R-1      ,E,   ,5524,2,2,2
HOPKINS ELEMENTARY SCHOOL                                   ,140,LITTLETON 6               ,E,   ,5572,3,2,3
TWAIN ELEMENTARY SCHOOL                                     ,140,LITTLETON 6               ,E,   ,5574,2,2,3
TWAIN ELEMENTARY SCHOOL                                     ,1010,COLORADO SPRINGS 11       ,E,   ,5576,3,3,3
MARRAMA ELEMENTARY SCHOOL                                   ,880,DENVER COUNTY 1           ,E,   ,5578,3,2,3
MARSHDALE ELEMENTARY SCHOOL                                 ,1420,JEFFERSON COUNTY R-1      ,E,   ,5580,2,1,2
MARTIN LUTHER KING JR ELEMENTARY SCHOOL                     ,990,WIDEFIELD 3               ,E,   ,5602,1,1,1
KING ELEMENTARY SCHOOL                                      ,1010,COLORADO SPRINGS 11       ,E,   ,5604,1,1,1
MARTIN LUTHER KING JR. EARLY COLLEGE                        ,880,DENVER COUNTY 1           ,H,   ,5605,2,2,2
MARTIN LUTHER KING JR. EARLY COLLEGE                        ,880,DENVER COUNTY 1           ,M,   ,5605,2,1,2
CREEKSIDE ELEMENTARY SCHOOL AT MARTIN PARK                  ,480,BOULDER VALLEY RE 2       ,E,   ,5606,2,2,3
SAGE CANYON ELEMENTARY                                      ,900,DOUGLAS COUNTY RE 1       ,E,   ,5607,2,2,2
MATHEMATICS AND SCIENCE LEADERSHIP ACADEMY                  ,880,DENVER COUNTY 1           ,E,   ,5608,2,,2
MARTINEZ ELEMENTARY SCHOOL                                  ,1010,COLORADO SPRINGS 11       ,E,   ,5610,2,2,2
MARY E PENNOCK ELEMENTARY SCHOOL                            ,40,BRIGHTON 27J              ,E,   ,5615,1,2,2
MAPLEWOOD ELEMENTARY SCHOOL                                 ,3120,GREELEY 6                 ,E,   ,5620,2,2,2
LONGVIEW HIGH SCHOOL                                        ,1420,JEFFERSON COUNTY R-1      ,H,   ,5623,,,3
MAXWELL ELEMENTARY SCHOOL                                   ,880,DENVER COUNTY 1           ,E,   ,5644,1,1,2
MCAULIFFE ELEMENTARY SCHOOL                                 ,3120,GREELEY 6                 ,E,   ,5660,2,1,1
MC CLAVE ELEMENTARY SCHOOL                                  ,310,MC CLAVE RE-2             ,E,   ,5666,2,2,2
MC CLAVE UNDIVIDED HIGH SCHOOL                              ,310,MC CLAVE RE-2             ,H,   ,5670,2,2,2
MC CLAVE UNDIVIDED HIGH SCHOOL                              ,310,MC CLAVE RE-2             ,M,   ,5670,3,3,3
MC GLONE ELEMENTARY SCHOOL                                  ,880,DENVER COUNTY 1           ,E,   ,5685,1,3,3
MCGRAW ELEMENTARY SCHOOL                                    ,1550,POUDRE R-1                ,E,   ,5688,2,2,2
MC KINLEY-THATCHER ELEMENTARY SCHOOL                        ,880,DENVER COUNTY 1           ,E,   ,5702,2,3,3
MCKINLEY ELEMENTARY SCHOOL                                  ,1140,CANON CITY RE-1           ,E,   ,5704,2,2,2
MC ELWAIN ELEMENTARY SCHOOL                                 ,20,ADAMS 12 FIVE STAR SCHOOLS,E,   ,5706,2,3,2
MC MEEN ELEMENTARY SCHOOL                                   ,880,DENVER COUNTY 1           ,E,   ,5716,2,1,1
MEAD HIGH SCHOOL                                            ,470,ST VRAIN VALLEY RE 1J     ,H,   ,5722,2,3,2
MEAD ELEMENTARY SCHOOL                                      ,470,ST VRAIN VALLEY RE 1J     ,E,   ,5726,2,2,2
MEAD MIDDLE SCHOOL                                          ,470,ST VRAIN VALLEY RE 1J     ,M,   ,5730,2,2,2
HOMESTAKE PEAK SCHOOL                                       ,910,EAGLE COUNTY RE 50        ,E,   ,5742,2,1,1
MEADOW POINT ELEMENTARY SCHOOL                              ,130,CHERRY CREEK 5            ,E,   ,5744,2,3,3
MEADOW VIEW ELEMENTARY SCHOOL                               ,900,DOUGLAS COUNTY RE 1       ,E,   ,5745,3,3,2
MEEKER ELEMENTARY SCHOOL                                    ,2710,MEEKER RE1                ,E,   ,5750,2,2,1
MEEKER ELEMENTARY SCHOOL                                    ,3120,GREELEY 6                 ,E,   ,5752,1,1,1
BARONE MIDDLE SCHOOL                                        ,2710,MEEKER RE1                ,M,   ,5754,3,2,2
MEIKLEJOHN ELEMENTARY                                       ,1420,JEFFERSON COUNTY R-1      ,E,   ,5758,2,2,2
MEEKER HIGH SCHOOL                                          ,2710,MEEKER RE1                ,H,   ,5762,2,3,2
MERIDIAN RANCH INTERNATIONAL SCHOOL                         ,1110,FALCON 49                 ,E,   ,5779,2,3,2
MERINO ELEMENTARY SCHOOL                                    ,1860,BUFFALO RE-4J             ,E,   ,5802,2,3,3
MERINO JUNIOR SENIOR HIGH SCHOOL                            ,1860,BUFFALO RE-4J             ,H,   ,5806,1,3,2
MERINO JUNIOR SENIOR HIGH SCHOOL                            ,1860,BUFFALO RE-4J             ,M,   ,5806,2,3,3
THORNTON MIDDLE SCHOOL                                      ,20,ADAMS 12 FIVE STAR SCHOOLS,M,   ,5814,2,1,1
THORNTON HIGH SCHOOL                                        ,20,ADAMS 12 FIVE STAR SCHOOLS,H,   ,5816,2,2,2
MERRILL MIDDLE SCHOOL                                       ,880,DENVER COUNTY 1           ,M,   ,5826,2,2,1
MESA VALLEY VISION HOME AND COMMUNITY PROGRAM               ,2000,MESA COUNTY VALLEY 51     ,E,   ,5828,2,2,2
MESA VALLEY VISION HOME AND COMMUNITY PROGRAM               ,2000,MESA COUNTY VALLEY 51     ,H,   ,5828,2,3,2
MESA VALLEY VISION HOME AND COMMUNITY PROGRAM               ,2000,MESA COUNTY VALLEY 51     ,M,   ,5828,2,2,2
MESA ELEMENTARY SCHOOL                                      ,70,WESTMINSTER 50            ,E,   ,5834,3,3,3
MESA ELEMENTARY SCHOOL                                      ,2035,MONTEZUMA-CORTEZ RE-1     ,E,   ,5836,1,1,1
MESA ELEMENTARY SCHOOL                                      ,480,BOULDER VALLEY RE 2       ,E,   ,5838,1,1,1
MESA RIDGE HIGH SCHOOL                                      ,990,WIDEFIELD 3               ,H,   ,5841,1,1,1
MESA VIEW ELEMENTARY SCHOOL                                 ,2000,MESA COUNTY VALLEY 51     ,E,   ,5842,2,2,2
LONE TREE ELEMENTARY                                        ,900,DOUGLAS COUNTY RE 1       ,E,   ,5843,2,2,2
CONTEMPORARY LEARNING ACADEMY HIGH SCHOOL                   ,880,DENVER COUNTY 1           ,H,   ,5844,1,1,1
MIAMI/YODER ELEMENTARY SCHOOL                               ,1130,MIAMI/YODER 60 JT         ,E,   ,5850,1,3,3
MIAMI-YODER SENIOR HIGH SCHOOL                              ,1130,MIAMI/YODER 60 JT         ,H,   ,5854,1,1,1
MIDDLE PARK HIGH SCHOOL                                     ,1350,EAST GRAND 2              ,H,   ,5864,2,2,2
MIAMI-YODER JUNIOR HIGH SCHOOL                              ,1130,MIAMI/YODER 60 JT         ,M,   ,5870,1,1,1
MIDLAND ELEMENTARY SCHOOL                                   ,1010,COLORADO SPRINGS 11       ,E,   ,5878,3,1,1
MILLER MIDDLE SCHOOL                                        ,1520,DURANGO 9-R               ,M,   ,5888,2,3,2
MILLER SPECIAL EDUCATION                                    ,1420,JEFFERSON COUNTY R-1      ,A,EMH,5892,,,3
MILLER SPECIAL EDUCATION                                    ,1420,JEFFERSON COUNTY R-1      ,E,   ,5892,,,2
MILLER SPECIAL EDUCATION                                    ,1420,JEFFERSON COUNTY R-1      ,H,   ,5892,,,3
MILLIKEN ELEMENTARY SCHOOL                                  ,3110,JOHNSTOWN-MILLIKEN RE-5J  ,E,   ,5896,2,1,1
MILLIKEN MIDDLE SCHOOL                                      ,3110,JOHNSTOWN-MILLIKEN RE-5J  ,M,   ,5902,2,2,2
MINNEQUA ELEMENTARY SCHOOL                                  ,2690,PUEBLO CITY 60            ,E,   ,5916,2,1,1
MISSION VIEJO ELEMENTARY SCHOOL                             ,130,CHERRY CREEK 5            ,E,   ,5934,2,2,2
MITCHELL ELEMENTARY SCHOOL                                  ,1420,JEFFERSON COUNTY R-1      ,E,   ,5944,2,2,2
MITCHELL HIGH SCHOOL                                        ,1010,COLORADO SPRINGS 11       ,H,   ,5948,1,1,1
MOFFAT MIDDLE SCHOOL                                        ,2800,MOFFAT 2                  ,M,   ,5956,2,2,2
MOFFAT SENIOR HIGH SCHOOL                                   ,2800,MOFFAT 2                  ,H,   ,5958,,,3
MOFFAT COUNTY HIGH SCHOOL                                   ,2020,MOFFAT COUNTY RE:NO 1     ,H,   ,5962,2,2,2
MOLHOLM ELEMENTARY SCHOOL                                   ,1420,JEFFERSON COUNTY R-1      ,E,   ,5972,1,2,2
MONACO ELEMENTARY SCHOOL                                    ,30,ADAMS COUNTY 14           ,E,   ,5982,2,3,3
MONFORT ELEMENTARY SCHOOL                                   ,3120,GREELEY 6                 ,E,   ,5985,2,1,2
MONROE ELEMENTARY SCHOOL                                    ,1010,COLORADO SPRINGS 11       ,E,   ,5988,2,2,1
MONROE ELEMENTARY SCHOOL                                    ,1560,THOMPSON R2-J             ,E,   ,5992,2,2,3
MONTESSORI PEAKS CHARTER ACADEMY                            ,1420,JEFFERSON COUNTY R-1      ,E,   ,5994,2,3,3
MONTESSORI PEAKS CHARTER ACADEMY                            ,1420,JEFFERSON COUNTY R-1      ,M,   ,5994,3,2,2
MONTBELLO HIGH SCHOOL                                       ,880,DENVER COUNTY 1           ,H,   ,5995,1,2,2
D C S MONTESSORI CHARTER SCHOOL                             ,900,DOUGLAS COUNTY RE 1       ,E,   ,5997,2,2,2
OAKLAND ELEMENTARY SCHOOL                                   ,880,DENVER COUNTY 1           ,E,   ,5998,2,1,1
MONARCH HIGH SCHOOL                                         ,480,BOULDER VALLEY RE 2       ,H,   ,5999,2,3,2
MONARCH K-8 SCHOOL                                          ,480,BOULDER VALLEY RE 2       ,E,   ,6000,2,1,2
MONARCH K-8 SCHOOL                                          ,480,BOULDER VALLEY RE 2       ,M,   ,6000,2,2,2
MONTCLAIR ELEMENTARY SCHOOL                                 ,880,DENVER COUNTY 1           ,E,   ,6002,3,2,2
MONTEREY ELEMENTARY SCHOOL                                  ,980,HARRISON 2                ,E,   ,6018,3,3,3
MONTEZUMA-CORTEZ HIGH SCHOOL                                ,2035,MONTEZUMA-CORTEZ RE-1     ,H,   ,6026,2,1,1
BYRON SYRING DELTA CENTER                                   ,2740,MONTE VISTA C-8           ,H,   ,6030,,,1
BILL METZ ELEMENTARY SCHOOL                                 ,2740,MONTE VISTA C-8           ,E,   ,6036,1,2,2
MONTE VISTA MIDDLE SCHOOL                                   ,2740,MONTE VISTA C-8           ,M,   ,6044,2,2,2
MONTE VISTA SENIOR HIGH SCHOOL                              ,2740,MONTE VISTA C-8           ,H,   ,6046,1,1,1
COLUMBINE MIDDLE SCHOOL                                     ,2180,MONTROSE COUNTY RE-1J     ,M,   ,6054,2,2,2
MONTROSE HIGH SCHOOL                                        ,2180,MONTROSE COUNTY RE-1J     ,H,   ,6058,2,2,2
MOUNTAIN RANGE HIGH SCHOOL                                  ,20,ADAMS 12 FIVE STAR SCHOOLS,H,   ,6060,2,2,2
MONTVIEW MATH & HEALTH SCIENCES ELEMENTARY SCHOOL           ,180,ADAMS-ARAPAHOE 28J        ,E,   ,6068,3,1,1
FRUITA MONUMENT HIGH SCHOOL                                 ,2000,MESA COUNTY VALLEY 51     ,H,   ,6070,2,2,2
MOORE K-8 SCHOOL                                            ,880,DENVER COUNTY 1           ,E,   ,6088,2,2,1
