School Code,School Name,Physical Address,Physical City,Physical State,Physical Zipcode,Phone,LowestGrade,,School Type,Organization Code,District Name,District Size,District Setting
5014,LAUREL ELEMENTARY SCHOOL,1000 EAST LOCUST STREET,FORT COLLINS,CO,80524,9704885925,Preschool,5th Grade,Elementary,1550,POUDRE R-1,"6,001 - 25,000",Urban-Suburban
5015,LA JUNTA JR/SR HIGH SCHOOL,1817 SMITHLAND AVE,LA JUNTA,CO,81050,7193844467,7th Grade,12th Grade,Senior,2520,EAST OTERO R-1,"1,201 - 6,000",Outlying City
5018,LAURENE EDMONDSON ELEMENTARY SCHOOL,307 WEST 49TH STREET,LOVELAND,CO,80538,9706136300,Kindergarten,5th Grade,Elementary,1560,THOMPSON R2-J,"6,001 - 25,000",Urban-Suburban
5024,LAWRENCE ELEMENTARY SCHOOL,5611 ZEPHYR STREET,ARVADA,CO,80002,3039821825,Preschool,6th Grade,Elementary,1420,JEFFERSON COUNTY R-1,"Over 25,000",Denver Metro
5033,JAMES MADISON CHARTER ACADEMY SCHOOL,660 SYRACUSE STREET,COLORADO SPRINGS,CO,80911,7193913977,Kindergarten,6th Grade,Elementary,0990,WIDEFIELD 3,"6,001 - 25,000",Urban-Suburban
5036,LEAWOOD ELEMENTARY SCHOOL,6155 WEST LEAWOOD DRIVE,LITTLETON,CO,80123,3039827860,Preschool,6th Grade,Elementary,1420,JEFFERSON COUNTY R-1,"Over 25,000",Denver Metro
5043,LEGACY HIGH SCHOOL,2701 WEST 136TH STREET,BROOMFIELD,CO,80020,7209726700,9th Grade,12th Grade,Senior,0020,ADAMS 12 FIVE STAR SCHOOLS,"Over 25,000",Denver Metro
5045,LEGACY POINT ELEMENTARY SCHOOL,12736 SOUTH RED ROSA CIRCLE,PARKER,CO,80134,3033878725,Kindergarten,5th Grade,Elementary,0900,DOUGLAS COUNTY RE 1,"6,001 - 25,000",Denver Metro
5048,LEMUEL PITTS MIDDLE SCHOOL,29 LEHIGH AVENUE,PUEBLO,CO,81005,7195497430,6th Grade,8th Grade,Middle,2690,PUEBLO CITY 60,"6,001 - 25,000",Urban-Suburban
5050,LEO WILLIAM BUTLER ELEMENTARY SCHOOL,411 SOUTH MCKINLEY,FORT LUPTON,CO,80621,3038577300,Preschool,5th Grade,Elementary,3140,WELD COUNTY S/D RE-8,"1,201 - 6,000",Outlying Town
5058,LEROY DRIVE ELEMENTARY SCHOOL,1451 EAST LEROY DRIVE,NORTHGLENN,CO,80233,7209725460,Kindergarten,5th Grade,Elementary,0020,ADAMS 12 FIVE STAR SCHOOLS,"Over 25,000",Denver Metro
5068,LESHER MIDDLE SCHOOL,1400 STOVER,FORT COLLINS,CO,80524,9704723800,6th Grade,8th Grade,Middle,1550,POUDRE R-1,"6,001 - 25,000",Urban-Suburban
5078,LETFORD ELEMENTARY SCHOOL,2 NORTH JAY AVENUE,JOHNSTOWN,CO,80534,9705874605,Preschool,5th Grade,Elementary,3110,JOHNSTOWN-MILLIKEN RE-5J,"1,201 - 6,000",Outlying Town
5090,LEWIS-ARRIOLA ELEMENTARY SCHOOL,21434 ROAD U,CORTEZ,CO,81321,9708824494,Kindergarten,5th Grade,Elementary,2035,MONTEZUMA-CORTEZ RE-1,"1,201 - 6,000",Outlying City
5093,MONUMENT CHARTER ACADEMY,1150 VILLAGE RIDGE POINT,MONUMENT,CO,80132,7194811950,Preschool,8th Grade,Elementary,1080,LEWIS-PALMER 38,"1,201 - 6,000",Urban-Suburban
5096,LEWIS-PALMER ELEMENTARY SCHOOL,1315 LAKE WOODMOOR DRIVE,MONUMENT,CO,80132,7194884750,Preschool,6th Grade,Elementary,1080,LEWIS-PALMER 38,"1,201 - 6,000",Urban-Suburban
5098,LEWIS-PALMER MIDDLE SCHOOL,1776 WOODMOOR DRIVE,MONUMENT,CO,80132,7194884776,7th Grade,8th Grade,Middle,1080,LEWIS-PALMER 38,"1,201 - 6,000",Urban-Suburban
5100,LEWIS-PALMER HIGH SCHOOL,1300 HIGBY ROAD,MONUMENT,CO,80132,7194884720,9th Grade,12th Grade,Senior,1080,LEWIS-PALMER 38,"1,201 - 6,000",Urban-Suburban
5114,JEFFERSON INTERMEDIATE SCHOOL,901 SOUTH 11TH STREET,ROCKY FORD,CO,81067,7192547851,3rd Grade,6th Grade,Elementary,2530,ROCKY FORD R-2,601 - 1.200,Outlying Town
5119,LIBERTY ELEMENTARY SCHOOL,9332 HIGHWAY 36,JOES,CO,80822,9703584288,Preschool,6th Grade,Elementary,3230,LIBERTY J-4,300 or less,Outlying Town
5120,LIBERTY COMMON CHARTER SCHOOL,1725 SHARPE POINT DRIVE,FORT COLLINS,CO,80525,9704829800,Kindergarten,10th Grade,Senior,1550,POUDRE R-1,"6,001 - 25,000",Urban-Suburban
5123,LIBERTY JUNIOR-SENIOR HIGH SCHOOL,9332 HIGHWAY 36,JOES,CO,80822,9703584288,7th Grade,12th Grade,Senior,3230,LIBERTY J-4,300 or less,Outlying Town
5126,LIBERTY HIGH SCHOOL,8720 SCARBOROUGH DRIVE,COLORADO SPRINGS,CO,80920,7192342200,9th Grade,12th Grade,Senior,1040,ACADEMY 20,"6,001 - 25,000",Urban-Suburban
5129,LIFE SKILLS CENTER OF DENVER,1000 CHEROKEE,DENVER,CO,80204,7208892897,9th Grade,12th Grade,Senior,0880,DENVER COUNTY 1,"Over 25,000",Denver Metro
5132,LIMON ELEMENTARY SCHOOL,874 F AVENUE,LIMON,CO,80828,7197752350,Preschool,5th Grade,Elementary,1790,LIMON RE-4J,601 - 1.200,Outlying Town
5136,LIMON JUNIOR-SENIOR HIGH SCHOOL,874 F AVENUE,LIMON,CO,80828,7197752350,6th Grade,12th Grade,Senior,1790,LIMON RE-4J,601 - 1.200,Outlying Town
5145,LINCOLN CHARTER ACADEMY,6980 PIERCE STREET,ARVADA,CO,80003,3034675363,Preschool,12th Grade,Senior,1420,JEFFERSON COUNTY R-1,"Over 25,000",Denver Metro
5146,LIFE SKILLS CENTER OF COLORADO SPRINGS,1810 EASTLAKE BOULEVARD,COLORADO SPRINGS,CO,80910,7194710684,9th Grade,12th Grade,Senior,1010,COLORADO SPRINGS 11,"Over 25,000",Urban-Suburban
5154,LINCOLN ELEMENTARY SCHOOL,1050 HASTINGS,DELTA,CO,81416,9708743700,Kindergarten,5th Grade,Elementary,0870,DELTA COUNTY 50(J),"1,201 - 6,000",Outlying Town
5158,LINCOLN ELEMENTARY SCHOOL,710 SOUTH PENNSYLVANIA STREET,DENVER,CO,80209,7204245990,Preschool,5th Grade,Elementary,0880,DENVER COUNTY 1,"Over 25,000",Denver Metro
5162,LINCOLN ELEMENTARY SCHOOL,2727 NORTH CASCADE AVENUE,COLORADO SPRINGS,CO,80907,7193284400,Kindergarten,5th Grade,Elementary,1010,COLORADO SPRINGS 11,"Over 25,000",Urban-Suburban
5166,LINCOLN ELEMENTARY SCHOOL,420 MYRTLE AVENUE,CANON CITY,CO,81212,7192765830,Kindergarten,5th Grade,Elementary,1140,CANON CITY RE-1,"1,201 - 6,000",Outlying City
5168,LINCOLN MIDDLE SCHOOL,1600 WEST LANCER DRIVE,FORT COLLINS,CO,80521,9704885700,6th Grade,8th Grade,Middle,1550,POUDRE R-1,"6,001 - 25,000",Urban-Suburban
5170,LINCOLN ELEMENTARY SCHOOL,3312 NORTH DOUGLAS AVENUE,LOVELAND,CO,80538,9706136220,Kindergarten,5th Grade,Elementary,1560,THOMPSON R2-J,"6,001 - 25,000",Urban-Suburban
5180,LINCOLN HIGH SCHOOL,230 WALNUT STREET,FORT MORGAN,CO,80701,9708672924,9th Grade,12th Grade,Senior,2405,FORT MORGAN RE-3,"1,201 - 6,000",Outlying City
5190,LINCOLN ELEMENTARY SCHOOL,200 NORTH 10TH STREET,LAMAR,CO,81052,7193367741,5th Grade,6th Grade,Elementary,2660,LAMAR RE-2,"1,201 - 6,000",Outlying City
5196,LINTON ELEMENTARY SCHOOL,4100 CARIBOU DRIVE,FORT COLLINS,CO,80525,9704885850,Preschool,5th Grade,Elementary,1550,POUDRE R-1,"6,001 - 25,000",Urban-Suburban
5210,LINCOLN ORCHARD MESA ELEMENTARY SCHOOL,2888 B1/2 ROAD,GRAND JUNCTION,CO,81503,9702547940,Preschool,5th Grade,Elementary,2000,MESA COUNTY VALLEY 51,"6,001 - 25,000",Urban-Suburban
5221,LITTLE INDIANS PRESCHOOL,709 WEST THIRD STREET,YUMA,CO,80759,9708484572,Preschool,Preschool,Elementary,3200,YUMA 1,601 - 1.200,Outlying Town
5222,LITTLE ELEMENTARY SCHOOL,8448 OTIS DRIVE,ARVADA,CO,80003,3039820310,Kindergarten,6th Grade,Elementary,1420,JEFFERSON COUNTY R-1,"Over 25,000",Denver Metro
5224,LITTLETON HIGH SCHOOL,199 EAST LITTLETON BLVD,LITTLETON,CO,80121,3033477700,9th Grade,12th Grade,Senior,0140,LITTLETON 6,"6,001 - 25,000",Denver Metro
5229,LITTLETON ACADEMY,1200 WEST MINERAL AVENUE,LITTLETON,CO,80120,3037985252,Kindergarten,8th Grade,Elementary,0140,LITTLETON 6,"6,001 - 25,000",Denver Metro
5233,LITTLETON PREP CHARTER SCHOOL,5151 SOUTH FEDERAL BOULEVARD SUITE 1,LITTLETON,CO,80123,3037341995,Kindergarten,8th Grade,Elementary,0140,LITTLETON 6,"6,001 - 25,000",Denver Metro
5234,LIVERMORE ELEMENTARY SCHOOL,360 RED FEATHER LAKES ROAD,LIVERMORE,CO,80536,9704886520,Kindergarten,5th Grade,Elementary,1550,POUDRE R-1,"6,001 - 25,000",Urban-Suburban
5236,LOIS LENSKI ELEMENTARY SCHOOL,6350 SOUTH FAIRFAX WAY,CENTENNIAL,CO,80121,3033474575,Kindergarten,5th Grade,Elementary,0140,LITTLETON 6,"6,001 - 25,000",Denver Metro
5238,LONE STAR MIDDLE SCHOOL,44940 COUNTY ROAD 54,OTIS,CO,80743,9708482778,5th Grade,8th Grade,Middle,3060,LONE STAR 101,300 or less,Rural
5244,LOMA ELEMENTARY SCHOOL,1360  13 ROAD,LOMA,CO,81524,9702546520,Preschool,5th Grade,Elementary,2000,MESA COUNTY VALLEY 51,"6,001 - 25,000",Urban-Suburban
5246,LOMA LINDA ELEMENTARY SCHOOL,333 E. MOUNTAIN VIEW,LONGMONT,CO,80501,3037724280,Preschool,5th Grade,Elementary,0470,ST VRAIN VALLEY RE 1J,"6,001 - 25,000",Denver Metro
5254,LONE STAR ELEMENTARY SCHOOL,44940 COUNTY ROAD 54,OTIS,CO,80743,9708482778,Kindergarten,4th Grade,Elementary,3060,LONE STAR 101,300 or less,Rural
5255,LAKE INTERNATIONAL SCHOOL,1820 LOWELL BLVD,DENVER,CO,80204,7204240460,6th Grade,6th Grade,Elementary,0880,DENVER COUNTY 1,"Over 25,000",Denver Metro
5258,LONE STAR UNDIVIDED HIGH SCHOOL,44940 COUNTY ROAD 54,OTIS,CO,80743,9708482778,9th Grade,12th Grade,Senior,3060,LONE STAR 101,300 or less,Rural
5268,LONGFELLOW ELEMENTARY SCHOOL,350 WEST 8TH STREET,SALIDA,CO,81201,7195305260,Kindergarten,4th Grade,Elementary,0500,SALIDA R-32,601 - 1.200,Outlying Town
5282,LONGMONT HIGH SCHOOL,1040 SUNSET STREET,LONGMONT,CO,80501,3037766014,9th Grade,12th Grade,Senior,0470,ST VRAIN VALLEY RE 1J,"6,001 - 25,000",Denver Metro
5284,LONGMONT ESTATES ELEMENTARY SCHOOL,1601 NORTHWESTERN ROAD,LONGMONT,CO,80503,7206528101,Preschool,5th Grade,Elementary,0470,ST VRAIN VALLEY RE 1J,"6,001 - 25,000",Denver Metro
5286,SUNSET MIDDLE SCHOOL,1300 S. SUNSET,LONGMONT,CO,80501,3037763963,6th Grade,8th Grade,Middle,0470,ST VRAIN VALLEY RE 1J,"6,001 - 25,000",Denver Metro
5288,LONGS PEAK MIDDLE SCHOOL,1500 14TH AVENUE,LONGMONT,CO,80501,3037765611,6th Grade,8th Grade,Middle,0470,ST VRAIN VALLEY RE 1J,"6,001 - 25,000",Denver Metro
5292,LOPEZ ELEMENTARY SCHOOL,637 WABASH,FORT COLLINS,CO,80526,9704888800,Kindergarten,5th Grade,Elementary,1550,POUDRE R-1,"6,001 - 25,000",Urban-Suburban
5298,LOTUS SCHOOL FOR EXCELLENCE,11001-A EAST ALAMEDA AVENUE,AURORA,CO,80012,3033600052,Kindergarten,11th Grade,Senior,0180,ADAMS-ARAPAHOE 28J,"Over 25,000",Denver Metro
5302,LOUISVILLE ELEMENTARY SCHOOL,400 HUTCHINSON STREET,LOUISVILLE,CO,80027,7205617200,Preschool,5th Grade,Elementary,0480,BOULDER VALLEY RE 2,"Over 25,000",Denver Metro
5306,LOUISVILLE MIDDLE SCHOOL,1341 MAIN STREET,LOUISVILLE,CO,80027,7205617400,6th Grade,8th Grade,Middle,0480,BOULDER VALLEY RE 2,"Over 25,000",Denver Metro
5312,BILL REED MIDDLE SCHOOL,370 WEST 4TH STREET,LOVELAND,CO,80537,9706137200,6th Grade,8th Grade,Middle,1560,THOMPSON R2-J,"6,001 - 25,000",Urban-Suburban
5316,LOVELAND HIGH SCHOOL,920 WEST 29TH AVENUE,LOVELAND,CO,80538,9706135200,9th Grade,12th Grade,Senior,1560,THOMPSON R2-J,"6,001 - 25,000",Urban-Suburban
5318,ENGLEWOOD EARLY CHILDHOOD EDUCATION CENTER AT MADDOX,700 W. MANSFIELD,ENGLEWOOD,CO,80110,3037817585,Preschool,Preschool,Elementary,0120,ENGLEWOOD 1,"1,201 - 6,000",Denver Metro
5335,LUCILE ERWIN MIDDLE SCHOOL,4700 LUCERNE AVENUE,LOVELAND,CO,80538,9706137600,6th Grade,8th Grade,Middle,1560,THOMPSON R2-J,"6,001 - 25,000",Urban-Suburban
5342,LOWRY ELEMENTARY SCHOOL,8001 EAST CEDAR AVENUE,DENVER,CO,80230,7204245910,Preschool,5th Grade,Elementary,0880,DENVER COUNTY 1,"Over 25,000",Denver Metro
5350,LUKAS ELEMENTARY SCHOOL,9650 WEST 97TH AVENUE,WESTMINSTER,CO,80021,3039820368,Kindergarten,6th Grade,Elementary,1420,JEFFERSON COUNTY R-1,"Over 25,000",Denver Metro
5354,LUMBERG ELEMENTARY SCHOOL,6705 WEST 22ND AVENUE,EDGEWATER,CO,80214,3039826182,Kindergarten,6th Grade,Elementary,1420,JEFFERSON COUNTY R-1,"Over 25,000",Denver Metro
5361,LYN KNOLL ELEMENTARY SCHOOL,12445 EAST 2ND AVE,AURORA,CO,80011,3033648455,Kindergarten,5th Grade,Elementary,0180,ADAMS-ARAPAHOE 28J,"Over 25,000",Denver Metro
5364,LYONS ELEMENTARY SCHOOL,338 HIGH STREET,LYONS,CO,80540,3038236915,Preschool,5th Grade,Elementary,0470,ST VRAIN VALLEY RE 1J,"6,001 - 25,000",Denver Metro
5368,LYONS MIDDLE/SENIOR HIGH SCHOOL,100 SOUTH 2ND AVENUE,LYONS,CO,80540,3038236631,6th Grade,12th Grade,Senior,0470,ST VRAIN VALLEY RE 1J,"6,001 - 25,000",Denver Metro
5388,M. SCOTT CARPENTER MIDDLE SCHOOL,7001 LIPAN STREET,DENVER,CO,80221,3034288583,6th Grade,8th Grade,Middle,0070,WESTMINSTER 50,"6,001 - 25,000",Denver Metro
5393,THOMPSON INTEGRATED EARLY CHILDHOOD,800 SOUTH TAFT AVENUE,LOVELAND,CO,80537,9706135031,Preschool,Preschool,Elementary,1560,THOMPSON R2-J,"6,001 - 25,000",Urban-Suburban
5404,MADISON ELEMENTARY SCHOOL,4120 CONSTITUTION AVENUE,COLORADO SPRINGS,CO,80909,7193287300,Preschool,5th Grade,Elementary,1010,COLORADO SPRINGS 11,"Over 25,000",Urban-Suburban
5405,EDCSD: COLORADO CYBER SCHOOL,801 SOUTH PERRY STREET STE 130,CASTLE ROCK,CO,80104,3033879465,Kindergarten,12th Grade,Senior,0900,DOUGLAS COUNTY RE 1,"6,001 - 25,000",Denver Metro
5412,MADISON ELEMENTARY SCHOOL,500  24TH AVENUE,GREELEY,CO,80634,9703481700,Kindergarten,5th Grade,Elementary,3120,GREELEY 6,"6,001 - 25,000",Urban-Suburban
5414,MADISON EXPLORATORY SCHOOL,202 EAST DOUGLAS,CANON CITY,CO,81212,7192766140,#NAME?,6th Grade,Elementary,1140,CANON CITY RE-1,"1,201 - 6,000",Outlying City
5415,ROCKY MOUNTAIN DEAF SCHOOL,1921 YOUNGFIELD STREET,GOLDEN,CO,80401,3039845749,Preschool,12th Grade,Senior,1420,JEFFERSON COUNTY R-1,"Over 25,000",Denver Metro
5418,MALLEY DRIVE ELEMENTARY SCHOOL,1300 EAST MALLEY DRIVE,NORTHGLENN,CO,80233,7209725480,Kindergarten,5th Grade,Elementary,0020,ADAMS 12 FIVE STAR SCHOOLS,"Over 25,000",Denver Metro
5422,MANASSA ELEMENTARY SCHOOL,200 SOUTH 5TH STREET,MANASSA,CO,81141,7198435277,Kindergarten,5th Grade,Elementary,0550,NORTH CONEJOS RE-1J,"1,201 - 6,000",Rural
5430,MANNY MARTINEZ MIDDLE SCHOOL,951 ELATI STREET,DENVER,CO,80204,3038937988,6th Grade,8th Grade,Middle,0880,DENVER COUNTY 1,"Over 25,000",Denver Metro
5436,MANAUGH ELEMENTARY SCHOOL,300 EAST 4TH STREET,CORTEZ,CO,81321,9705657691,Kindergarten,5th Grade,Elementary,2035,MONTEZUMA-CORTEZ RE-1,"1,201 - 6,000",Outlying City
5446,MANCOS ELEMENTARY SCHOOL,301 GRAND AVENUE,MANCOS,CO,81328,9705337744,#NAME?,#NAME?,Elementary,2070,MANCOS RE-6,301 - 600,Rural
5448,MANUAL HIGH SCHOOL,1700 EAST 28TH AVENUE,DENVER,CO,80205,7204236300,9th Grade,12th Grade,Senior,0880,DENVER COUNTY 1,"Over 25,000",Denver Metro
5450,MANCOS MIDDLE SCHOOL,100 SOUTH BEECH,MANCOS,CO,81328,9705339143,6th Grade,8th Grade,Middle,2070,MANCOS RE-6,301 - 600,Rural
5452,MANCOS HIGH SCHOOL,355 WEST GRAND AVENUE,MANCOS,CO,81328,9705337746,9th Grade,12th Grade,Senior,2070,MANCOS RE-6,301 - 600,Rural
5454,MANDALAY MIDDLE SCHOOL,9651 NORTH PIERCE ST,WESTMINSTER,CO,80021,3039829802,7th Grade,8th Grade,Middle,1420,JEFFERSON COUNTY R-1,"Over 25,000",Denver Metro
5460,MANITOU SPRINGS ELEMENTARY SCHOOL,110 PAWNEE AVENUE,MANITOU SPRINGS,CO,80829,7196852195,Preschool,5th Grade,Elementary,1030,MANITOU SPRINGS 14,"1,201 - 6,000",Urban-Suburban
5464,MANITOU SPRINGS MIDDLE SCHOOL,415 EL MONTE PLACE,MANITOU SPRINGS,CO,80829,7196852127,6th Grade,8th Grade,Middle,1030,MANITOU SPRINGS 14,"1,201 - 6,000",Urban-Suburban
5468,MANITOU SPRINGS HIGH SCHOOL,401 EL MONTE PLACE,MANITOU SPRINGS,CO,80829,7196852074,9th Grade,12th Grade,Senior,1030,MANITOU SPRINGS 14,"1,201 - 6,000",Urban-Suburban
5472,MANNING OPTIONS SCHOOL,13200 WEST 32ND PLACE,LAKEWOOD,CO,80401,3039826340,7th Grade,8th Grade,Middle,1420,JEFFERSON COUNTY R-1,"Over 25,000",Denver Metro
5498,MANZANOLA ELEMENTARY SCHOOL,200 S CANAL ST.,MANZANOLA,CO,81058,7194625578,Preschool,6th Grade,Elementary,2535,MANZANOLA 3J,300 or less,Rural
5506,MANZANOLA JUNIOR-SENIOR HIGH SCHOOL,301 SOUTH CATALPA,MANZANOLA,CO,81058,7194625528,#NAME?,#NAME?,Senior,2535,MANZANOLA 3J,300 or less,Rural
5524,MAPLE GROVE ELEMENTARY SCHOOL,3085 ALKIRE STREET,GOLDEN,CO,80401,3039825808,Kindergarten,6th Grade,Elementary,1420,JEFFERSON COUNTY R-1,"Over 25,000",Denver Metro
5539,MAPLETON EARLY LEARNING CENTER,602 EAST 64TH AVENUE,DENVER,CO,80229,3038531100,Preschool,Kindergarten,Elementary,0010,MAPLETON 1,"1,201 - 6,000",Denver Metro
5572,HOPKINS ELEMENTARY SCHOOL,7171 SOUTH PENNSYLVANIA STREET,CENTENNIAL,CO,80122,3033474550,Preschool,5th Grade,Elementary,0140,LITTLETON 6,"6,001 - 25,000",Denver Metro
5574,TWAIN ELEMENTARY SCHOOL,6901 SOUTH FRANKLIN STREET,CENTENNIAL,CO,80122,3033474700,Kindergarten,5th Grade,Elementary,0140,LITTLETON 6,"6,001 - 25,000",Denver Metro
5576,TWAIN ELEMENTARY SCHOOL,3402 EAST SAN MIGUEL STREET,COLORADO SPRINGS,CO,80909,7193287700,Preschool,5th Grade,Elementary,1010,COLORADO SPRINGS 11,"Over 25,000",Urban-Suburban
5577,MARBLE CHARTER SCHOOL,412 WEST MAIN STREET,MARBLE,CO,81623,9709639550,Kindergarten,10th Grade,Senior,1360,GUNNISON WATERSHED RE1J,"1,201 - 6,000",Outlying Town
5578,MARRAMA ELEMENTARY SCHOOL,19100 EAST 40TH AVENUE,DENVER,CO,80249,7204245820,Preschool,5th Grade,Elementary,0880,DENVER COUNTY 1,"Over 25,000",Denver Metro
5579,MARSH ELEMENTARY SCHOOL,215 LYELL,MONTE VISTA,CO,81144,7198523231,Preschool,1st Grade,Elementary,2740,MONTE VISTA C-8,"1,201 - 6,000",Outlying Town
5580,MARSHDALE ELEMENTARY SCHOOL,26663 NORTH TURKEY CREEK ROAD,EVERGREEN,CO,80439,3039825188,Kindergarten,5th Grade,Elementary,1420,JEFFERSON COUNTY R-1,"Over 25,000",Denver Metro
5596,MARTENSEN ELEMENTARY SCHOOL,6625 WEST 45TH PLACE,WHEAT RIDGE,CO,80033,3039821877,#NAME?,#NAME?,Elementary,1420,JEFFERSON COUNTY R-1,"Over 25,000",Denver Metro
5602,MARTIN LUTHER KING JR ELEMENTARY SCHOOL,6910 DEFOE AVENUE,COLORADO SPRINGS,CO,80911,7193913455,Kindergarten,5th Grade,Elementary,0990,WIDEFIELD 3,"6,001 - 25,000",Urban-Suburban
5604,KING ELEMENTARY SCHOOL,6110 SAPPORO DRIVE,COLORADO SPRINGS,CO,80918,7193286000,Preschool,5th Grade,Elementary,1010,COLORADO SPRINGS 11,"Over 25,000",Urban-Suburban
5605,MARTIN LUTHER KING MIDDLE COLLEGE,19535 EAST 46TH AVENUE,DENVER,CO,80249,7204240420,6th Grade,12th Grade,Senior,0880,DENVER COUNTY 1,"Over 25,000",Denver Metro
5606,CREEKSIDE ELEMENTARY SCHOOL AT MARTIN PARK,3740 MARTIN DRIVE,BOULDER,CO,80305,7205613800,Preschool,5th Grade,Elementary,0480,BOULDER VALLEY RE 2,"Over 25,000",Denver Metro
5607,SAGE CANYON ELEMENTARY,2420 AUTUMN SAGE STREET,CASTLE ROCK,CO,80104,3039139419,Kindergarten,6th Grade,Elementary,0900,DOUGLAS COUNTY RE 1,"6,001 - 25,000",Denver Metro
5608,MATHEMATICS AND SCIENCE LEADERSHIP ACADEMY,451 SOUTH TEJON STREET,DENVER,CO,80223,7204241310,Kindergarten,3rd Grade,Elementary,0880,DENVER COUNTY 1,"Over 25,000",Denver Metro
5610,MARTINEZ ELEMENTARY SCHOOL,6460 VICKERS DRIVE,COLORADO SPRINGS,CO,80918,7193286100,Preschool,5th Grade,Elementary,1010,COLORADO SPRINGS 11,"Over 25,000",Urban-Suburban
5615,MARY E PENNOCK ELEMENTARY SCHOOL,3707 ESTRELLA STREET,BRIGHTON,CO,80601,7206857500,Kindergarten,5th Grade,Elementary,0040,BRIGHTON 27J,"1,201 - 6,000",Denver Metro
5620,MAPLEWOOD ELEMENTARY SCHOOL,1201 21ST AVENUE,GREELEY,CO,80631,9703483800,Preschool,5th Grade,Elementary,3120,GREELEY 6,"6,001 - 25,000",Urban-Suburban
5623,LONGVIEW HIGH SCHOOL,13301 WEST 2ND PLACE,LAKEWOOD,CO,80228,3039828523,#NAME?,#NAME?,Senior,1420,JEFFERSON COUNTY R-1,"Over 25,000",Denver Metro
5644,MAXWELL ELEMENTARY SCHOOL,14390 EAST BOLLING DRIVE,DENVER,CO,80239,7204245740,Preschool,5th Grade,Elementary,0880,DENVER COUNTY 1,"Over 25,000",Denver Metro
5656,MAYBELL ELEMENTARY SCHOOL,72 HAYNES AVENUE,MAYBELL,CO,81640,9702723266,Preschool,5th Grade,Elementary,2020,MOFFAT COUNTY RE:NO 1,"1,201 - 6,000",Outlying City
5660,MCAULIFFE ELEMENTARY SCHOOL,600 51ST AVENUE,GREELEY,CO,80634,9703481900,Preschool,5th Grade,Elementary,3120,GREELEY 6,"6,001 - 25,000",Urban-Suburban
5666,MC CLAVE ELEMENTARY SCHOOL,308 LINCOLN STREET,MC CLAVE,CO,81057,7198294517,Preschool,6th Grade,Elementary,0310,MC CLAVE RE-2,300 or less,Rural
5670,MC CLAVE UNDIVIDED HIGH SCHOOL,308 LINCOLN STREET,MC CLAVE,CO,81057,7198294517,7th Grade,12th Grade,Senior,0310,MC CLAVE RE-2,300 or less,Rural
5685,MC GLONE ELEMENTARY SCHOOL,4500 CROWN BOULEVARD,DENVER,CO,80239,7204245660,Preschool,5th Grade,Elementary,0880,DENVER COUNTY 1,"Over 25,000",Denver Metro
5688,MCGRAW ELEMENTARY SCHOOL,4800 HINSDALE,FORT COLLINS,CO,80526,9704888335,Preschool,5th Grade,Elementary,1550,POUDRE R-1,"6,001 - 25,000",Urban-Suburban
5702,MC KINLEY-THATCHER ELEMENTARY SCHOOL,1230 SOUTH GRANT STREET,DENVER,CO,80210,7204245600,Preschool,5th Grade,Elementary,0880,DENVER COUNTY 1,"Over 25,000",Denver Metro
5704,MCKINLEY ELEMENTARY SCHOOL,1240 MC KINLEY STREET,CANON CITY,CO,81212,7192766010,Kindergarten,5th Grade,Elementary,1140,CANON CITY RE-1,"1,201 - 6,000",Outlying City
5706,MC ELWAIN ELEMENTARY SCHOOL,1020 DAWSON DRIVE,THORNTON,CO,80229,7209725500,#NAME?,#NAME?,Elementary,0020,ADAMS 12 FIVE STAR SCHOOLS,"Over 25,000",Denver Metro
5716,MC MEEN ELEMENTARY SCHOOL,1000 SOUTH HOLLY STREET,DENVER,CO,80222,7204245520,Preschool,5th Grade,Elementary,0880,DENVER COUNTY 1,"Over 25,000",Denver Metro
5722,MEAD HIGH SCHOOL,12750 COUNTY ROAD #7,LONGMONT,CO,80504,7204943940,9th Grade,11th Grade,Senior,0470,ST VRAIN VALLEY RE 1J,"6,001 - 25,000",Denver Metro
5726,MEAD ELEMENTARY SCHOOL,520 WELKER AVE.,MEAD,CO,80542,9705354488,Preschool,5th Grade,Elementary,0470,ST VRAIN VALLEY RE 1J,"6,001 - 25,000",Denver Metro
5730,MEAD MIDDLE SCHOOL,620 WELKER AVE.,MEAD,CO,80542,9705354446,6th Grade,8th Grade,Middle,0470,ST VRAIN VALLEY RE 1J,"6,001 - 25,000",Denver Metro
5742,MEADOW MOUNTAIN ELEMENTARY SCHOOL,750 EAGLE ROAD,AVON,CO,81620,9703282940,Kindergarten,5th Grade,Elementary,0910,EAGLE COUNTY RE 50,"1,201 - 6,000",Outlying Town
5744,MEADOW POINT ELEMENTARY SCHOOL,17901 EAST GRAND AVENUE,AURORA,CO,80015,7208868600,Preschool,5th Grade,Elementary,0130,CHERRY CREEK 5,"Over 25,000",Denver Metro
5745,MEADOW VIEW ELEMENTARY SCHOOL,3700 BUTTERFIELD CROSSING,CASTLE ROCK,CO,80109,3033875425,Preschool,6th Grade,Elementary,0900,DOUGLAS COUNTY RE 1,"6,001 - 25,000",Denver Metro
