SCHOOLNAME,DISTrictNUMBER,DISTRICTNAME,EMH,EMH_Combined,SCHOOLNUMBER,AEC_10,Charter,Online,INITIAL_PlanType,FINAL_PlanType,Notes,EMH_2lvl,LT100pnts,School_Grade,rank_tot,Overall_ACH_Grade,Read_Ach_Grade,Math_Ach_Grade,Write_Ach_Grade,Sci_Ach_Grade,Overall_Weighted_Growth_Grade,Read_Growth_Grade,Math_Growth_Grade,Write_Growth_Grade,SPF_PS_IND_GRAD_RATE
BROMLEY EAST CHARTER SCHOOL,40,BRIGHTON 27J,E,,1052,0,1,0,,,,1,0,7,642,6,7,6,6,6,6,6,6,6,
CENTENNIAL MIDDLE SCHOOL,480,BOULDER VALLEY RE 2,M,,1390,0,0,0,Performance Plan,Performance Plan,,1,0,7,646,9,9,7,9,9,8,9,6,6,
LA JARA ELEMENTARY SCHOOL,550,NORTH CONEJOS RE-1J,E,,4836,0,0,0,Performance Plan,Performance Plan,,1,0,7,646,9,9,9,9,8,6,5,5,7,
LESHER MIDDLE SCHOOL,1550,POUDRE R-1,M,,5068,0,0,0,Performance Plan,Performance Plan,,1,0,7,646,7,7,7,9,9,6,5,6,6,
SOUTH MESA ELEMENTARY SCHOOL,2700,PUEBLO COUNTY 70,E,,8110,0,0,0,Performance Plan,Performance Plan,,1,0,7,646,7,7,8,7,9,6,6,6,5,
TWAIN ELEMENTARY SCHOOL,1010,COLORADO SPRINGS 11,E,,5576,0,0,0,Performance Plan,Performance Plan,,1,0,7,650,5,5,6,5,5,7,6,9,6,
SHANNER ELEMENTARY SCHOOL,2670,HOLLY RE-3,E,,7794,0,0,0,Performance Plan,Performance Plan,,1,0,7,650,6,7,7,7,6,7,9,6,9,
TRAYLOR ELEMENTARY SCHOOL,880,DENVER COUNTY 1,E,,8888,0,0,0,Performance Plan,Performance Plan,,1,0,7,650,6,6,6,6,5,6,6,9,5,
EAGLESIDE ELEMENTARY SCHOOL,1000,FOUNTAIN 8,E,,3027,0,0,0,Performance Plan,Performance Plan,,1,0,7,653,8,6,9,7,7,6,5,6,6,
RUSSELL MIDDLE SCHOOL,1010,COLORADO SPRINGS 11,M,,7523,0,0,0,Performance Plan,Performance Plan,,1,0,7,653,6,6,6,6,6,7,7,8,6,
STEDMAN ELEMENTARY SCHOOL,880,DENVER COUNTY 1,E,,8232,0,0,0,Performance Plan,Performance Plan,,1,0,7,653,3,3,5,3,4,10,7,10,12,
MERINO JUNIOR SENIOR HIGH SCHOOL,1860,BUFFALO RE-4J,M,,5806,0,0,0,,,,1,0,7,653,6,6,6,6,7,6,6,6,5,
BENNETT MIDDLE SCHOOL,50,BENNETT 29J,M,,774,0,0,0,Performance Plan,Performance Plan,,1,0,7,657,6,6,6,7,6,7,6,8,8,
DOLORES MIDDLE SCHOOL,2055,DOLORES RE-4A,M,,2206,0,0,0,Performance Plan,Performance Plan,,1,0,7,657,6,7,6,6,7,6,6,9,6,
OAK CREEK ELEMENTARY SCHOOL,980,HARRISON 2,E,,6460,0,0,0,Performance Plan,Performance Plan,,1,0,7,657,6,5,6,6,5,6,6,6,7,
WAYNE CARLE MIDDLE SCHOOL,1420,JEFFERSON COUNTY R-1,M,,9299,0,0,0,Performance Plan,Performance Plan,,1,0,7,657,6,7,6,6,9,7,6,9,5,
WEST MIDDLE SCHOOL,2000,MESA COUNTY VALLEY 51,M,,9406,0,0,0,Performance Plan,Performance Plan,,1,0,7,657,6,6,6,6,6,7,6,9,6,
GYPSUM ELEMENTARY SCHOOL,910,EAGLE COUNTY RE 50,E,,3710,0,0,0,Performance Plan,Performance Plan,,1,0,6,662,6,6,6,6,6,9,9,9,8,
JOHNSON ELEMENTARY SCHOOL,1550,POUDRE R-1,E,,4456,0,0,0,Performance Plan,Performance Plan,,1,0,6,662,7,8,8,6,7,7,6,6,6,
MURPHY CREEK K-8 SCHOOL,180,ADAMS-ARAPAHOE 28J,M,,6189,0,0,0,,,,1,0,6,664,6,6,6,6,6,9,7,9,6,
STANSBERRY ELEMENTARY SCHOOL,1560,THOMPSON R2-J,E,,7650,0,0,0,Performance Plan,Performance Plan,,1,0,6,665,9,9,9,9,6,6,6,6,6,
EXPEDITIONARY LEARNING SCHOOL,9130,EXPEDITIONARY BOCES,M,,2840,0,0,0,,,,1,0,6,665,7,9,6,8,10,6,7,6,6,
ESTES PARK K-5 SCHOOL,1570,PARK (ESTES PARK) R-3,E,,2790,0,0,0,Performance Plan,Performance Plan,,1,0,6,667,6,6,7,6,8,8,7,9,7,
KING ELEMENTARY SCHOOL,1010,COLORADO SPRINGS 11,E,,5604,0,0,0,Performance Plan,Performance Plan,,1,0,6,667,9,9,9,9,8,6,6,5,6,
PATRIOT ELEMENTARY SCHOOL,1000,FOUNTAIN 8,E,,6338,0,0,0,Performance Plan,Performance Plan,,1,0,6,667,7,6,8,6,7,6,5,6,6,
STETSON ELEMENTARY SCHOOL,1110,FALCON 49,E,,8266,0,0,0,Performance Plan,Performance Plan,,1,0,6,667,8,7,8,9,7,6,5,5,6,
FLEMING HIGH SCHOOL,1850,FRENCHMAN RE-3,M,,2988,0,0,0,,,,1,0,6,667,8,10,6,10,9,6,7,1,9,
PIKES PEAK SCHOOL EXPEDITIONARY LEARNING,1110,FALCON 49,M,,6935,0,1,0,,,,1,0,6,667,6,9,6,7,6,7,9,6,6,
ATLAS PREPARATORY SCHOOL,980,HARRISON 2,E,,469,0,1,0,Performance Plan,Performance Plan,,1,0,6,673,6,6,6,6,6,7,5,11,6,
MILLER MIDDLE SCHOOL,1520,DURANGO 9-R,M,,5888,0,0,0,Performance Plan,Performance Plan,,1,0,6,673,9,9,6,9,10,8,7,7,7,
NAMAQUA ELEMENTARY SCHOOL,1560,THOMPSON R2-J,E,,6194,0,0,0,Performance Plan,Performance Plan,,1,0,6,673,7,7,7,7,7,6,6,6,6,
PONDEROSA ELEMENTARY SCHOOL,130,CHERRY CREEK 5,E,,7116,0,0,0,Performance Plan,Performance Plan,,1,0,6,673,6,6,6,6,6,7,6,8,7,
SKYVIEW ELEMENTARY SCHOOL,3100,WINDSOR RE-4,E,,7958,0,0,0,Performance Plan,Performance Plan,,1,0,6,673,9,9,9,9,10,6,6,6,6,
OMAR D BLAIR CHARTER SCHOOL,880,DENVER COUNTY 1,M,,6508,0,1,0,,,,1,0,6,673,6,6,5,6,6,9,7,10,9,
NORTH FORK VISION SCHOOL,870,DELTA COUNTY 50(J),M,,9146,0,0,0,,,,1,0,6,673,5,6,3,6,5,9,11,6,8,
ORCHARD MESA MIDDLE SCHOOL,2000,MESA COUNTY VALLEY 51,M,,6562,0,0,0,Performance Plan,Performance Plan,,1,0,6,680,6,6,5,6,7,9,9,10,9,
PUEBLO WEST ELEMENTARY SCHOOL,2700,PUEBLO COUNTY 70,E,,7210,0,0,0,Performance Plan,Performance Plan,,1,0,6,680,6,6,7,6,6,6,6,5,9,
DAKOTA VALLEY ELEMENTARY SCHOOL,130,CHERRY CREEK 5,E,,2094,0,0,0,Performance Plan,Performance Plan,,1,0,6,682,7,7,8,6,7,5,6,6,6,
LAFAYETTE ELEMENTARY SCHOOL,480,BOULDER VALLEY RE 2,E,,4874,0,0,0,Performance Plan,Performance Plan,,1,0,6,682,7,7,7,6,9,6,6,7,6,
EDISON ELEMENTARY SCHOOL,880,DENVER COUNTY 1,E,,2506,0,0,0,Performance Plan,Performance Plan,,1,0,6,684,7,7,7,8,7,6,7,4,9,
CREEKSIDE ELEMENTARY SCHOOL AT MARTIN PARK,480,BOULDER VALLEY RE 2,E,,5606,0,0,0,Performance Plan,Performance Plan,,1,0,6,684,6,5,6,6,6,8,7,9,6,
D C S MONTESSORI CHARTER SCHOOL,900,DOUGLAS COUNTY RE 1,E,,5997,0,1,0,Performance Plan,Performance Plan,,1,0,6,684,10,12,9,10,10,5,6,2,6,
MOUNTAINSIDE ELEMENTARY SCHOOL,1000,FOUNTAIN 8,E,,6138,0,0,0,Performance Plan,Performance Plan,,1,0,6,684,6,6,6,6,5,7,6,9,6,
MOUNTAIN VIEW ELEMENTARY SCHOOL,470,ST VRAIN VALLEY RE 1J,E,,6156,0,0,0,Performance Plan,Performance Plan,,1,0,6,684,6,5,6,6,5,6,9,5,6,
MOUNTAIN RIDGE MIDDLE SCHOOL,900,DOUGLAS COUNTY RE 1,M,,6164,0,0,0,Performance Plan,Performance Plan,,1,0,6,684,9,9,8,10,9,5,5,6,5,
WOODGLEN ELEMENTARY SCHOOL,20,ADAMS 12 FIVE STAR SCHOOLS,E,,9682,0,0,0,Performance Plan,Performance Plan,,1,0,6,684,6,6,6,6,6,7,6,6,7,
PRAIRIE WINDS ELEMENTARY SCHOOL,2700,PUEBLO COUNTY 70,E,,7153,0,0,0,Performance Plan,Performance Plan,,1,0,6,691,8,8,9,7,6,5,6,3,6,
BAUDER ELEMENTARY SCHOOL,1550,POUDRE R-1,E,,612,0,0,0,Performance Plan,Performance Plan,,1,0,6,692,6,6,7,6,6,7,7,7,7,
SKYVIEW MIDDLE SCHOOL,1110,FALCON 49,M,,7960,0,0,0,Performance Plan,Performance Plan,,1,0,6,692,6,6,6,7,6,6,5,7,6,
ADVENTURE ELEMENTARY,10,MAPLETON 1,E,,507,0,0,0,Performance Plan,Performance Plan,,1,0,6,694,3,2,3,3,3,12,10,12,10,
FALCON BLUFFS MIDDLE SCHOOL,1420,JEFFERSON COUNTY R-1,M,,2963,0,0,0,Performance Plan,Performance Plan,,1,0,6,694,9,9,7,9,10,6,6,6,6,
FOOTHILLS ELEMENTARY SCHOOL,1420,JEFFERSON COUNTY R-1,E,,3025,0,0,0,Performance Plan,Performance Plan,,1,0,6,694,6,6,6,6,7,6,8,6,6,
FREMONT ELEMENTARY SCHOOL,1010,COLORADO SPRINGS 11,E,,3218,0,0,0,Performance Plan,Performance Plan,,1,0,6,694,6,6,7,6,7,6,6,6,5,
HAMILTON MIDDLE SCHOOL,880,DENVER COUNTY 1,M,,3746,0,0,0,Performance Plan,Performance Plan,,1,0,6,694,7,7,6,9,7,7,9,6,9,
SIERRA VISTA ELEMENTARY SCHOOL,2700,PUEBLO COUNTY 70,E,,7886,0,0,0,Performance Plan,Performance Plan,,1,0,6,694,8,9,9,9,6,6,9,3,7,
TURNER MIDDLE SCHOOL,1560,THOMPSON R2-J,M,,8925,0,0,0,Performance Plan,Performance Plan,,1,0,6,694,8,9,7,9,9,6,5,7,3,
SWALLOWS CHARTER ACADEMY,2700,PUEBLO COUNTY 70,E,,8420,0,1,0,,,,1,0,6,694,7,7,8,6,6,6,6,6,6,
DOS RIOS ELEMENTARY SCHOOL,3120,GREELEY 6,E,,2222,0,0,0,Performance Plan,Performance Plan,,1,0,6,702,5,5,6,5,5,6,6,9,5,
FORT MORGAN MIDDLE SCHOOL,2405,FORT MORGAN RE-3,M,,3074,0,0,0,Performance Plan,Performance Plan,,1,0,6,702,5,5,2,6,6,9,9,8,9,
GRANT RANCH K-8 SCHOOL,880,DENVER COUNTY 1,E,,3605,0,0,0,,,,1,0,6,702,6,6,6,6,6,7,6,7,6,
SWINK JUNIOR-SENIOR HIGH SCHOOL,2570,SWINK 33,M,,8456,0,0,0,,,,1,0,6,702,6,8,6,6,7,7,10,6,6,
VALDEZ ELEMENTARY SCHOOL,880,DENVER COUNTY 1,E,,408,0,0,0,Performance Plan,Performance Plan,,1,0,6,706,2,2,3,3,1,11,9,12,8,
BEULAH ELEMENTARY SCHOOL,2700,PUEBLO COUNTY 70,E,,852,0,0,0,Performance Plan,Performance Plan,,1,0,6,706,9,9,11,6,7,6,5,6,6,
CENTENNIAL ACADEMY OF FINE ARTS EDUCATION,140,LITTLETON 6,E,,1382,0,0,0,Performance Plan,Performance Plan,,1,0,6,706,6,6,6,6,6,6,8,5,6,
PAWNEE ELEMENTARY SCHOOL,3148,PAWNEE RE-12,E,,3672,0,0,0,Performance Plan,Performance Plan,,1,0,6,706,8,8,9,7,6,6,6,5,6,
IDALIA ELEMENTARY SCHOOL,3220,IDALIA RJ-3,E,,4227,0,0,0,Performance Plan,Performance Plan,,1,0,6,706,,6,6,6,,6,3,7,9,
HOMESTAKE PEAK SCHOOL,910,EAGLE COUNTY RE 50,E,,5742,0,0,0,Performance Plan,Performance Plan,,1,0,6,706,6,5,6,6,6,8,9,7,6,
HI PLAINS ELEMENTARY SCHOOL,1460,HI-PLAINS R-23,E,,9164,0,0,0,Performance Plan,Performance Plan,,1,0,6,706,7,9,9,6,6,6,6,6,3,
WALT CLARK MIDDLE SCHOOL,1560,THOMPSON R2-J,M,,9228,0,0,0,Performance Plan,Performance Plan,,1,0,6,706,6,6,6,6,6,7,9,6,7,
KUNSMILLER CREATIVE ARTS ACADEMY,880,DENVER COUNTY 1,E,,4795,0,0,0,,,,1,0,6,706,5,3,5,5,5,7,6,9,6,
EDGEWATER ELEMENTARY SCHOOL,1420,JEFFERSON COUNTY R-1,E,,2496,0,0,0,Performance Plan,Performance Plan,,1,0,6,715,5,4,6,5,3,10,9,12,7,
LOCHBUIE ELEMENTARY SCHOOL,3090,KEENESBURG RE-3(J),E,,3090,0,0,0,Performance Plan,Performance Plan,,1,0,6,715,6,6,7,6,6,6,6,6,7,
GARNET MESA ELEMENTARY SCHOOL,870,DELTA COUNTY 50(J),E,,3330,0,0,0,Performance Plan,Performance Plan,,1,0,6,715,7,6,9,6,6,6,6,6,6,
PEIFFER ELEMENTARY SCHOOL,1420,JEFFERSON COUNTY R-1,E,,6844,0,0,0,Performance Plan,Performance Plan,,1,0,6,715,7,8,6,9,6,6,9,5,6,
REMINGTON ELEMENTARY SCHOOL,1110,FALCON 49,E,,7317,0,0,0,Performance Plan,Performance Plan,,1,0,6,715,6,6,6,6,7,6,6,6,6,
STRATMOOR HILLS ELEMENTARY SCHOOL,980,HARRISON 2,E,,8337,0,0,0,Performance Plan,Performance Plan,,1,0,6,715,6,5,6,6,6,8,6,6,9,
AURORA FRONTIER K-8,180,ADAMS-ARAPAHOE 28J,E,,465,0,0,0,,,,1,0,6,715,6,6,7,6,6,6,6,6,6,
EAGLEVIEW MIDDLE SCHOOL,1040,ACADEMY 20,M,,2358,0,0,0,Performance Plan,Performance Plan,,1,0,6,722,8,9,6,9,9,6,6,6,7,
ENGLEWOOD LEADERSHIP ACADEMY,120,ENGLEWOOD 1,M,,2750,0,0,0,Performance Plan,Performance Plan,,1,0,6,722,10,12,7,12,12,6,6,3,9,
MOREY MIDDLE SCHOOL,880,DENVER COUNTY 1,M,,6098,0,0,0,Performance Plan,Performance Plan,,1,0,6,722,6,6,6,8,7,8,7,7,9,
CORTEZ MIDDLE SCHOOL,2035,MONTEZUMA-CORTEZ RE-1,M,,1888,0,0,0,Performance Plan,Performance Plan,,1,0,6,725,5,5,5,6,6,9,7,8,9,
MOORE K-8 SCHOOL,880,DENVER COUNTY 1,E,,6088,0,0,0,,,,1,0,6,725,5,5,6,5,5,7,6,9,7,
PITT-WALLER K-8 SCHOOL,880,DENVER COUNTY 1,M,,6970,0,0,0,,,,1,0,6,725,5,5,3,5,5,9,8,11,7,
RIFLE MIDDLE SCHOOL,1195,GARFIELD RE-2,E,,7356,0,0,0,,,,1,0,6,725,5,5,6,6,6,9,9,7,9,
COMMUNITY MONTESSORI SCHOOL,480,BOULDER VALLEY RE 2,E,,1883,0,0,0,Performance Plan,Performance Plan,,1,0,6,729,8,9,7,7,10,6,6,7,6,
DENISON MONTESSORI SCHOOL,880,DENVER COUNTY 1,E,,2174,0,0,0,Performance Plan,Performance Plan,,1,0,6,729,6,6,6,6,6,9,8,9,9,
CALHAN MIDDLE SCHOOL,970,CALHAN RJ-1,M,,1215,0,0,0,Performance Plan,Performance Plan,,1,0,6,731,6,6,6,7,8,6,6,6,6,
PLATEAU VALLEY MIDDLE SCHOOL,1990,PLATEAU VALLEY 50,M,,7028,0,0,0,Performance Plan,Performance Plan,,1,0,6,731,6,6,5,7,6,7,8,6,7,
GOODNIGHT ELEMENTARY SCHOOL,2690,PUEBLO CITY 60,M,,1504,0,0,0,,,,1,0,6,731,9,9,8,9,9,6,6,5,6,
ROCKY MOUNTAIN ACADEMY OF EVERGREEN,1420,JEFFERSON COUNTY R-1,E,,7462,0,1,0,,,,1,0,6,731,11,10,12,9,12,2,3,3,3,
LIBERTY MIDDLE SCHOOL,130,CHERRY CREEK 5,M,,18,0,0,0,Performance Plan,Performance Plan,,1,0,6,735,8,8,6,9,8,7,9,6,8,
FREMONT ELEMENTARY SCHOOL,1420,JEFFERSON COUNTY R-1,E,,3216,0,0,0,Performance Plan,Performance Plan,,1,0,6,735,6,6,7,6,6,7,8,6,6,
JENKINS MIDDLE SCHOOL,1010,COLORADO SPRINGS 11,M,,4424,0,0,0,Performance Plan,Performance Plan,,1,0,6,735,9,9,7,9,9,6,6,6,6,
KIOWA MIDDLE SCHOOL,930,KIOWA C-2,M,,4726,0,0,0,Performance Plan,Performance Plan,,1,0,6,735,7,9,6,8,7,6,9,6,5,
MEAD ELEMENTARY SCHOOL,470,ST VRAIN VALLEY RE 1J,E,,5726,0,0,0,Performance Plan,Performance Plan,,1,0,6,735,7,6,7,6,9,6,5,6,6,
VALLEY VIEW K-8,10,MAPLETON 1,M,,9036,0,0,0,,,,1,0,6,735,6,6,5,8,3,8,6,6,9,
WOODROW WILSON CHARTER ACADEMY,1420,JEFFERSON COUNTY R-1,E,,9427,0,1,0,,,,1,0,6,735,9,7,11,9,6,4,2,6,5,
LINTON ELEMENTARY SCHOOL,1550,POUDRE R-1,E,,5196,0,0,0,Performance Plan,Performance Plan,,1,0,6,742,7,6,7,7,7,6,7,6,6,
HEMPHILL MIDDLE SCHOOL,60,STRASBURG 31J,M,,8332,0,0,0,Performance Plan,Performance Plan,,1,0,6,742,6,6,4,7,7,6,7,5,8,
WILMORE DAVIS ELEMENTARY SCHOOL,1420,JEFFERSON COUNTY R-1,E,,9638,0,0,0,Performance Plan,Performance Plan,,1,0,6,742,6,6,6,6,7,7,9,6,7,
ORTEGA MIDDLE SCHOOL,100,ALAMOSA RE-11J,M,,114,0,0,0,Performance Plan,Performance Plan,,1,0,6,745,6,6,3,6,6,8,9,6,9,
BELL MIDDLE SCHOOL,1420,JEFFERSON COUNTY R-1,M,,694,0,0,0,Performance Plan,Performance Plan,,1,0,6,746,6,6,6,6,8,7,9,6,6,
BRIGGSDALE ELEMENTARY SCHOOL,3146,BRIGGSDALE RE-10,E,,1008,0,0,0,Performance Plan,Performance Plan,,1,0,6,746,9,7,10,9,9,5,1,6,6,
DEER TRAIL ELEMENTARY SCHOOL,170,DEER TRAIL 26J,E,,2136,0,0,0,Performance Plan,Performance Plan,,1,0,6,746,9,10,10,9,9,6,5,6,5,
ELIZABETH MIDDLE SCHOOL,920,ELIZABETH C-1,M,,2604,0,0,0,Performance Plan,Performance Plan,,1,0,6,746,7,8,6,9,9,6,6,6,6,
JORDAHL ELEMENTARY SCHOOL,1000,FOUNTAIN 8,E,,4474,0,0,0,Performance Plan,Performance Plan,,1,0,6,746,9,8,9,9,9,6,6,5,6,
SPRINGS RANCH ELEMENTARY SCHOOL,1110,FALCON 49,E,,8010,0,0,0,Performance Plan,Performance Plan,,1,0,6,746,8,8,9,8,7,6,6,5,6,
TIMBERVIEW MIDDLE SCHOOL,1040,ACADEMY 20,M,,8851,0,0,0,Performance Plan,Performance Plan,,1,0,6,746,9,9,7,9,9,6,6,6,6,
WIGGINS MIDDLE SCHOOL,2515,WIGGINS RE-50(J),M,,9263,0,0,0,Performance Plan,Performance Plan,,1,0,6,746,7,8,6,7,8,6,8,6,6,
COLUMBINE ELEMENTARY SCHOOL,3020,WOODLAND PARK RE-2,E,,9698,0,0,0,Performance Plan,Performance Plan,,1,0,6,746,8,8,7,6,9,6,5,5,6,
ASPEN CREEK K-8 SCHOOL,480,BOULDER VALLEY RE 2,M,,441,0,0,0,,,,1,0,6,746,8,9,6,9,9,6,6,6,5,
EASTRIDGE COMMUNITY ELEMENTARY SCHOOL,130,CHERRY CREEK 5,E,,2428,0,0,0,Performance Plan,Performance Plan,,1,0,6,756,5,5,6,5,6,8,7,7,8,
EDISON ELEMENTARY SCHOOL,1010,COLORADO SPRINGS 11,E,,2510,0,0,0,Performance Plan,Performance Plan,,1,0,6,756,5,5,6,5,5,8,9,7,7,
GREEN ACRES ELEMENTARY SCHOOL,2405,FORT MORGAN RE-3,E,,3620,0,0,0,Performance Plan,Performance Plan,,1,0,6,756,,6,6,5,,8,9,9,6,
RYE ELEMENTARY SCHOOL,2700,PUEBLO COUNTY 70,E,,7530,0,0,0,Performance Plan,Performance Plan,,1,0,6,756,6,6,8,6,8,6,5,6,7,
SANBORN ELEMENTARY SCHOOL,470,ST VRAIN VALLEY RE 1J,E,,7584,0,0,0,Performance Plan,Performance Plan,,1,0,6,756,6,6,6,6,6,6,6,6,6,
SECREST ELEMENTARY SCHOOL,1420,JEFFERSON COUNTY R-1,E,,7708,0,0,0,Performance Plan,Performance Plan,,1,0,6,756,6,6,6,5,6,7,10,6,6,
CENTENNIAL K-8 SCHOOL,880,DENVER COUNTY 1,M,,1400,0,0,0,,,,1,0,6,756,3,5,1,5,3,9,9,9,7,
CRESTONE CHARTER SCHOOL,2800,MOFFAT 2,E,,2018,0,1,0,,,,1,0,6,756,,6,6,5,,5,3,3,9,
DE BEQUE UNDIVIDED HIGH SCHOOL,1980,DE BEQUE 49JT,M,,2126,0,0,0,,,,1,0,6,756,5,5,4,5,6,6,3,9,5,
PLATTE VALLEY ELEMENTARY SCHOOL,3130,PLATTE VALLEY RE-7,E,,7052,0,0,0,Performance Plan,Performance Plan,,1,0,6,765,6,6,6,6,6,7,6,7,6,
BELLE CREEK CHARTER SCHOOL,40,BRIGHTON 27J,E,,700,0,1,0,,,,1,0,6,765,6,6,6,6,6,7,6,8,6,
PUEBLO CHARTER SCHOOL FOR THE ARTS & SCIENCES,2690,PUEBLO CITY 60,M,,7209,0,1,0,,,,1,0,6,765,6,7,5,7,9,6,7,6,7,
MESA MIDDLE SCHOOL,900,DOUGLAS COUNTY RE 1,M,,267,0,0,0,Performance Plan,Performance Plan,,1,0,6,768,6,7,6,7,7,6,5,6,6,
LUCILE ERWIN MIDDLE SCHOOL,1560,THOMPSON R2-J,M,,5335,0,0,0,Performance Plan,Performance Plan,,1,0,6,768,7,8,6,9,9,6,7,6,6,
THUNDER RIDGE MIDDLE SCHOOL,130,CHERRY CREEK 5,M,,8848,0,0,0,Performance Plan,Performance Plan,,1,0,6,768,7,7,6,8,7,6,6,5,6,
CACHE LA POUDRE MIDDLE SCHOOL,1550,POUDRE R-1,M,,1190,0,0,0,Performance Plan,Performance Plan,,1,0,6,771,7,8,6,9,9,6,7,6,6,
COWELL ELEMENTARY SCHOOL,880,DENVER COUNTY 1,E,,1928,0,0,0,Performance Plan,Performance Plan,,1,0,6,771,2,1,4,2,1,10,11,9,9,
IRISH ELEMENTARY SCHOOL,1550,POUDRE R-1,E,,4282,0,0,0,Performance Plan,Performance Plan,,1,0,6,771,5,5,6,5,4,9,7,9,8,
WINDSOR MIDDLE SCHOOL,3100,WINDSOR RE-4,M,,9670,0,0,0,Performance Plan,Performance Plan,,1,0,6,771,7,7,6,9,8,6,6,6,6,
WOODLAND PARK MIDDLE SCHOOL,3020,WOODLAND PARK RE-2,M,,9694,0,0,0,Performance Plan,Performance Plan,,1,0,6,771,7,7,6,7,9,6,6,7,6,
FREE HORIZON MONTESSORI CHARTER SCHOOL,1420,JEFFERSON COUNTY R-1,E,,3201,0,1,0,Performance Plan,Performance Plan,,1,0,6,776,7,9,6,6,9,6,6,5,6,
HOLLY HILLS ELEMENTARY SCHOOL,130,CHERRY CREEK 5,E,,4062,0,0,0,Performance Plan,Performance Plan,,1,0,6,776,6,5,6,6,6,7,7,7,6,
MORTON ELEMENTARY SCHOOL,2690,PUEBLO CITY 60,E,,6132,0,0,0,Performance Plan,Performance Plan,,1,0,6,776,7,6,9,6,6,6,5,7,7,
THUNDER MOUNTAIN ELEMENTARY SCHOOL,2000,MESA COUNTY VALLEY 51,E,,8846,0,0,0,Performance Plan,Performance Plan,,1,0,6,776,6,6,7,6,7,6,6,6,6,
THE IMAGINE CLASSICAL ACADEMY AT INDIGO RANCH,1110,FALCON 49,M,,4251,0,1,0,,,,1,0,6,776,9,9,6,9,6,7,6,6,8,
FOWLER ELEMENTARY SCHOOL,2540,FOWLER R-4J,E,,56,0,0,0,Performance Plan,Performance Plan,,1,0,6,781,9,9,9,9,6,6,6,5,6,
EAST MIDDLE SCHOOL,180,ADAMS-ARAPAHOE 28J,M,,2384,0,0,0,Performance Plan,Performance Plan,,1,0,6,781,3,3,2,3,5,9,9,8,9,
CARMODY MIDDLE SCHOOL,1420,JEFFERSON COUNTY R-1,M,,1318,0,0,0,Performance Plan,Performance Plan,,1,0,6,783,6,6,6,6,7,6,6,6,6,
EVANS INTERNATIONAL ELEMENTARY SCHOOL,1110,FALCON 49,E,,1618,0,0,0,Performance Plan,Performance Plan,,1,0,6,783,7,6,7,7,7,6,6,5,7,
DRAKE JUNIOR HIGH SCHOOL,1420,JEFFERSON COUNTY R-1,M,,2288,0,0,0,Performance Plan,Performance Plan,,1,0,6,783,8,8,7,9,8,6,6,7,4,
MARY E PENNOCK ELEMENTARY SCHOOL,40,BRIGHTON 27J,E,,5615,0,0,0,Performance Plan,Performance Plan,,1,0,6,783,6,6,7,6,6,6,6,6,6,
SANFORD ELEMENTARY SCHOOL,560,SANFORD 6J,E,,7612,0,0,0,Performance Plan,Performance Plan,,1,0,6,783,7,7,9,7,6,6,6,5,6,
ROGERS ELEMENTARY SCHOOL,1010,COLORADO SPRINGS 11,E,,9618,0,0,0,Performance Plan,Performance Plan,,1,0,6,783,5,5,5,5,3,7,6,6,9,
DENVER SCHOOL OF THE ARTS,880,DENVER COUNTY 1,M,,2184,0,0,0,,,,1,0,6,783,9,12,6,12,10,5,6,3,6,
GLACIER PEAK ELEMENTARY SCHOOL,20,ADAMS 12 FIVE STAR SCHOOLS,E,,14,0,0,0,Performance Plan,Performance Plan,,1,0,6,790,6,6,7,6,6,6,6,6,6,
CARLILE ELEMENTARY SCHOOL,2690,PUEBLO CITY 60,E,,1304,0,0,0,Performance Plan,Performance Plan,,1,0,6,790,7,8,7,6,6,5,5,5,5,
MANITOU SPRINGS MIDDLE SCHOOL,1030,MANITOU SPRINGS 14,M,,5464,0,0,0,Performance Plan,Performance Plan,,1,0,6,790,7,8,6,9,8,6,6,6,6,
SARGENT ELEMENTARY SCHOOL,2750,SARGENT RE-33J,E,,7660,0,0,0,Performance Plan,Performance Plan,,1,0,6,790,7,9,7,7,6,5,4,6,5,
WESTVIEW ELEMENTARY SCHOOL,20,ADAMS 12 FIVE STAR SCHOOLS,E,,9494,0,0,0,Performance Plan,Performance Plan,,1,0,6,790,6,6,6,5,5,6,7,6,6,
SAGE CANYON ELEMENTARY,900,DOUGLAS COUNTY RE 1,E,,5607,0,0,0,Performance Plan,Performance Plan,,1,0,6,795,9,9,9,9,6,5,6,1,8,
PARK ELEMENTARY SCHOOL,1520,DURANGO 9-R,E,,6738,0,0,0,Performance Plan,Performance Plan,,1,0,6,796,6,6,8,6,6,6,5,9,5,
CASTLE ROCK MIDDLE SCHOOL,900,DOUGLAS COUNTY RE 1,M,,2226,0,0,0,Performance Plan,Performance Plan,,1,0,6,797,7,8,6,9,8,6,6,6,6,
HUTCHINSON ELEMENTARY SCHOOL,1420,JEFFERSON COUNTY R-1,E,,4190,0,0,0,Performance Plan,Performance Plan,,1,0,6,797,10,10,9,9,10,5,6,4,6,
GRAND MESA MIDDLE SCHOOL,2000,MESA COUNTY VALLEY 51,M,,3584,0,0,0,Performance Plan,Performance Plan,,1,0,6,799,6,6,5,6,6,8,6,9,7,
