School Name,District Number,District Name,EMH,EMH_combined,School Number,rate_at.5_chng_ach,rate_at.5_chng_growth,pct_pts_chnge_.5
DEL NORTE MIDDLE SCHOOL,2730,DEL NORTE C-7,M,,2148,3,2,2
DEL NORTE HIGH SCHOOL,2730,DEL NORTE C-7,H,,2150,2,2,1
DELTA ACADEMY OF APPLIED LEARNING,0870,DELTA COUNTY 50(J),E,EM,2152,,,1
DELTA ACADEMY OF APPLIED LEARNING,0870,DELTA COUNTY 50(J),M,EM,2152,1,1,1
DELTA COUNTY OPPORTUNITY SCHOOL,0870,DELTA COUNTY 50(J),H,,2155,,,2
DELTA COUNTY OPPORTUNITY SCHOOL,0870,DELTA COUNTY 50(J),M,,2155,,,
DELTA MIDDLE SCHOOL,0870,DELTA COUNTY 50(J),M,,2160,2,2,2
DELTA HIGH SCHOOL,0870,DELTA COUNTY 50(J),H,,2164,3,3,3
DELTA VISION SCHOOL,0870,DELTA COUNTY 50(J),E,EMH,2166,3,3,2
DELTA VISION SCHOOL,0870,DELTA COUNTY 50(J),H,EMH,2166,2,3,2
DELTA VISION SCHOOL,0870,DELTA COUNTY 50(J),M,EMH,2166,2,3,2
DENISON MONTESSORI SCHOOL,0880,DENVER COUNTY 1,E,,2174,2,2,3
DENVER CENTER FOR INTERNATIONAL STUDIES,0880,DENVER COUNTY 1,H,MH,2183,2,2,2
DENVER CENTER FOR INTERNATIONAL STUDIES,0880,DENVER COUNTY 1,M,MH,2183,2,2,2
DENVER SCHOOL OF THE ARTS,0880,DENVER COUNTY 1,H,MH,2184,2,2,2
DENVER SCHOOL OF THE ARTS,0880,DENVER COUNTY 1,M,MH,2184,2,2,2
DENVER SCHOOL OF SCIENCE AND TECHNOLOGY,0880,DENVER COUNTY 1,H,MH,2185,2,2,2
DENVER SCHOOL OF SCIENCE AND TECHNOLOGY,0880,DENVER COUNTY 1,M,MH,2185,2,2,2
DENVER VENTURE CHARTER SCHOOL,0880,DENVER COUNTY 1,H,,2187,,,
DEVINNY ELEMENTARY SCHOOL,1420,JEFFERSON COUNTY R-1,E,,2194,2,2,1
DISCOVERY CANYON CAMPUS SCHOOL,1040,ACADEMY 20,E,,2195,2,2,3
DISCOVERY CANYON CAMPUS SCHOOL,1040,ACADEMY 20,H,,2195,2,1,2
DISCOVERY CANYON CAMPUS SCHOOL,1040,ACADEMY 20,M,,2195,2,2,2
DOHERTY HIGH SCHOOL,1010,COLORADO SPRINGS 11,H,,2202,2,2,2
DOLORES ELEMENTARY SCHOOL,2055,DOLORES RE-4A,E,,2204,3,3,3
DOLORES MIDDLE SCHOOL,2055,DOLORES RE-4A,M,,2206,3,2,2
DOLORES HIGH SCHOOL,2055,DOLORES RE-4A,H,,2208,2,2,2
DOVE CREEK HIGH SCHOOL,0890,DOLORES COUNTY RE NO.2,H,,2216,2,3,3
DOVE CREEK HIGH SCHOOL,0890,DOLORES COUNTY RE NO.2,M,,2216,2,1,1
DOLORES HUERTA PREPARATORY HIGH SCHOOL,2690,PUEBLO CITY 60,H,,2217,2,1,1
DOS RIOS ELEMENTARY SCHOOL,3120,GREELEY 6,E,,2222,2,2,2
DOS RIOS ELEMENTARY SCHOOL,2000,MESA COUNTY VALLEY 51,E,,2224,3,3,2
CASTLE ROCK MIDDLE SCHOOL,0900,DOUGLAS COUNTY RE 1,M,,2226,3,3,3
DOUGLAS COUNTY HIGH SCHOOL,0900,DOUGLAS COUNTY RE 1,H,,2230,2,2,2
ROCK RIDGE ELEMENTARY SCHOOL,0900,DOUGLAS COUNTY RE 1,E,,2232,1,2,2
CHEROKEE TRAIL ELEMENTARY SCHOOL,0900,DOUGLAS COUNTY RE 1,E,,2233,2,2,2
EAGLE RIDGE ELEMENTARY SCHOOL,0900,DOUGLAS COUNTY RE 1,E,,2234,2,2,2
DOUGLASS ELEMENTARY SCHOOL,0480,BOULDER VALLEY RE 2,E,,2240,2,2,2
DOUGLASS VALLEY ELEMENTARY SCHOOL,1040,ACADEMY 20,E,,2248,2,2,2
DOULL ELEMENTARY SCHOOL,0880,DENVER COUNTY 1,E,,2258,3,3,3
DRAKE JUNIOR HIGH SCHOOL,1420,JEFFERSON COUNTY R-1,M,,2288,2,2,1
DRY CREEK ELEMENTARY SCHOOL,0130,CHERRY CREEK 5,E,,2292,2,2,2
DUAL IMMERSION ACADEMY SCHOOL,2000,MESA COUNTY VALLEY 51,E,,2297,1,3,3
DUNN ELEMENTARY SCHOOL,1550,POUDRE R-1,E,,2298,2,3,3
DUNSTAN MIDDLE SCHOOL,1420,JEFFERSON COUNTY R-1,M,,2300,2,2,2
DUPONT ELEMENTARY SCHOOL,0030,ADAMS COUNTY 14,E,,2308,2,2,2
DURANGO HIGH SCHOOL,1520,DURANGO 9-R,H,,2318,1,2,2
DUTCH CREEK ELEMENTARY SCHOOL,1420,JEFFERSON COUNTY R-1,E,,2322,3,3,3
EADS ELEMENTARY SCHOOL,1430,EADS RE-1,E,,2328,1,1,1
EADS MIDDLE SCHOOL,1430,EADS RE-1,M,,2332,1,2,1
EADS HIGH SCHOOL,1430,EADS RE-1,H,,2336,1,2,2
EAGLE ACADEMY,0900,DOUGLAS COUNTY RE 1,H,,2338,,,
EAGLE COUNTY CHARTER ACADEMY,0910,EAGLE COUNTY RE 50,E,,2340,2,2,2
EAGLE COUNTY CHARTER ACADEMY,0910,EAGLE COUNTY RE 50,M,,2340,2,2,2
EAGLE CREST ELEMENTARY SCHOOL,0470,ST VRAIN VALLEY RE 1J,E,,2343,2,1,1
EAGLE VALLEY ELEMENTARY SCHOOL,0910,EAGLE COUNTY RE 50,E,,2346,2,3,2
EAGLE VALLEY HIGH SCHOOL,0910,EAGLE COUNTY RE 50,H,,2350,2,2,3
EAGLE VALLEY MIDDLE SCHOOL,0910,EAGLE COUNTY RE 50,M,,2355,2,2,2
EAGLECREST HIGH SCHOOL,0130,CHERRY CREEK 5,H,,2357,2,2,2
EAGLEVIEW MIDDLE SCHOOL,1040,ACADEMY 20,M,,2358,2,2,2
EAGLEVIEW ELEMENTARY SCHOOL,0020,ADAMS 12 FIVE STAR SCHOOLS,E,,2361,3,2,2
EAGLETON ELEMENTARY SCHOOL,0880,DENVER COUNTY 1,E,,2364,3,3,3
EAST ELEMENTARY SCHOOL,2020,MOFFAT COUNTY RE:NO 1,E,,2374,2,2,2
EAST GRAND MIDDLE SCHOOL,1350,EAST GRAND 2,M,,2376,3,2,2
EAST ELEMENTARY SCHOOL,0140,LITTLETON 6,E,,2382,2,2,2
EAST MIDDLE SCHOOL,0180,ADAMS-ARAPAHOE 28J,M,,2384,2,2,2
EAST MIDDLE SCHOOL,2000,MESA COUNTY VALLEY 51,M,,2392,2,3,3
EAST HIGH SCHOOL,2690,PUEBLO CITY 60,H,,2394,3,2,2
EAST HIGH SCHOOL,0880,DENVER COUNTY 1,H,,2398,2,2,2
EAGLE RIDGE ACADEMY,0040,BRIGHTON 27J,,,2399,,,
POLSTON ELEMENTARY SCHOOL,0100,ALAMOSA RE-11J,,,2402,,,
TARVER ELEMENTARY SCHOOL,0020,ADAMS 12 FIVE STAR SCHOOLS,E,,2410,2,2,1
EAST MEMORIAL ELEMENTARY SCHOOL,3120,GREELEY 6,E,,2414,3,2,2
EASTRIDGE COMMUNITY ELEMENTARY SCHOOL,0130,CHERRY CREEK 5,E,,2428,2,2,3
EVA R BACA ELEMENTARY SCHOOL,2690,PUEBLO CITY 60,E,,2438,1,2,1
EATON ELEMENTARY SCHOOL,3085,EATON RE-2,,,2448,,,
EATON MIDDLE SCHOOL,3085,EATON RE-2,M,,2452,2,2,1
EATON HIGH SCHOOL,3085,EATON RE-2,H,,2456,2,2,2
ECKHART ELEMENTARY SCHOOL,1580,TRINIDAD 1,,,2481,,,
EDGEWATER ELEMENTARY SCHOOL,1420,JEFFERSON COUNTY R-1,E,,2496,3,3,3
EDISON ACADEMY,1120,EDISON 54 JT,H,,2504,,,3
EDISON ACADEMY,1120,EDISON 54 JT,M,,2504,,,
EDISON ELEMENTARY SCHOOL,0880,DENVER COUNTY 1,E,,2506,2,3,3
EDISON ELEMENTARY SCHOOL,1010,COLORADO SPRINGS 11,E,,2510,2,2,2
EDISON ELEMENTARY SCHOOL,1120,EDISON 54 JT,E,,2514,1,1,3
HAYDEN VALLEY ELEMENTARY SCHOOL,2760,HAYDEN RE-1,E,,2522,1,2,1
EDISON PREP,1120,EDISON 54 JT,,,2523,,,
EDITH WOLFORD ELEMENTARY SCHOOL,1040,ACADEMY 20,E,,2524,2,2,2
EDISON JUNIOR-SENIOR HIGH SCHOOL,1120,EDISON 54 JT,H,,2526,1,1,2
EDISON JUNIOR-SENIOR HIGH SCHOOL,1120,EDISON 54 JT,M,,2526,2,2,2
NIKOLA TESLA EDUCATION OPPORTUNITY CENTER,1010,COLORADO SPRINGS 11,H,,2528,1,1,2
NIKOLA TESLA EDUCATION OPPORTUNITY CENTER,1010,COLORADO SPRINGS 11,M,,2528,3,3,3
EDWARDS ELEMENTARY SCHOOL,0910,EAGLE COUNTY RE 50,E,,2530,3,2,3
EIBER ELEMENTARY SCHOOL,1420,JEFFERSON COUNTY R-1,E,,2550,2,3,2
EISENHOWER ELEMENTARY SCHOOL,0480,BOULDER VALLEY RE 2,E,,2552,2,2,3
ELBERT ELEMENTARY SCHOOL,0950,ELBERT 200,E,,2570,3,3,3
LEGACY ACADEMY,0920,ELIZABETH C-1,E,,2572,3,2,2
LEGACY ACADEMY,0920,ELIZABETH C-1,M,,2572,3,3,3
ELK CREEK ELEMENTARY,1195,GARFIELD RE-2,E,,2573,3,3,3
ELBERT JUNIOR-SENIOR HIGH SCHOOL,0950,ELBERT 200,H,,2574,1,2,1
ELBERT JUNIOR-SENIOR HIGH SCHOOL,0950,ELBERT 200,M,,2574,3,3,2
CHERRY DRIVE ELEMENTARY SCHOOL,0020,ADAMS 12 FIVE STAR SCHOOLS,E,,2576,1,2,1
SKYVIEW ELEMENTARY SCHOOL,0020,ADAMS 12 FIVE STAR SCHOOLS,E,,2578,3,2,2
HUNTERS GLEN ELEMENTARY SCHOOL,0020,ADAMS 12 FIVE STAR SCHOOLS,E,,2580,2,2,3
ROCKY MOUNTAIN ELEMENTARY SCHOOL,0020,ADAMS 12 FIVE STAR SCHOOLS,E,,2582,1,3,3
RIVERDALE ELEMENTARY SCHOOL,0020,ADAMS 12 FIVE STAR SCHOOLS,E,,2584,1,2,2
ELDORADO K-8 SCHOOL,0480,BOULDER VALLEY RE 2,E,,2589,2,3,3
ELDORADO K-8 SCHOOL,0480,BOULDER VALLEY RE 2,M,,2589,2,2,2
ELIZABETH MIDDLE SCHOOL,0920,ELIZABETH C-1,M,,2604,2,3,3
ELIZABETH HIGH SCHOOL,0920,ELIZABETH C-1,H,,2608,2,3,2
ELK CREEK ELEMENTARY SCHOOL,1420,JEFFERSON COUNTY R-1,E,,2616,3,3,3
ELKHART ELEMENTARY SCHOOL,0180,ADAMS-ARAPAHOE 28J,E,,2618,3,3,3
FOUNTAIN INTERNATIONAL MAGNET SCHOOL,2690,PUEBLO CITY 60,E,,2620,2,,2
ELLICOTT ELEMENTARY SCHOOL,1050,ELLICOTT 22,E,,2638,2,2,2
ELLICOTT MIDDLE SCHOOL,1050,ELLICOTT 22,M,,2640,3,2,2
ELLICOTT SENIOR HIGH SCHOOL,1050,ELLICOTT 22,H,,2642,2,2,2
ELLIS ELEMENTARY SCHOOL,0880,DENVER COUNTY 1,E,,2652,3,3,3
ELDORADO ELEMENTARY SCHOOL,0900,DOUGLAS COUNTY RE 1,E,,2656,2,2,2
EMERALD ELEMENTARY SCHOOL,0480,BOULDER VALLEY RE 2,E,,2702,2,2,1
NEW EMERSON SCHOOL AT COLUMBUS,2000,MESA COUNTY VALLEY 51,E,,2724,2,2,2
EMILY GRIFFITH OPPORTUNITY SCHOOL,0880,DENVER COUNTY 1,H,,2726,3,,2
ENGLEWOOD HIGH SCHOOL,0120,ENGLEWOOD 1,H,,2746,1,2,2
ENGLEWOOD LEADERSHIP ACADEMY,0120,ENGLEWOOD 1,M,,2750,1,2,2
ENGLEWOOD MIDDLE SCHOOL,0120,ENGLEWOOD 1,M,,2752,1,1,1
VENTURE PREP,0880,DENVER COUNTY 1,M,,2755,2,2,2
ERIE ELEMENTARY SCHOOL,0470,ST VRAIN VALLEY RE 1J,E,,2758,2,3,3
ERIE MIDDLE SCHOOL,0470,ST VRAIN VALLEY RE 1J,M,,2760,2,2,1
ERIE HIGH SCHOOL,0470,ST VRAIN VALLEY RE 1J,H,,2761,2,2,1
ESTES PARK OPTIONS SCHOOL,1570,PARK (ESTES PARK) R-3,H,,2788,,,
ESCUELA TLATELOLCO SCHOOL,0880,DENVER COUNTY 1,H,MH,2789,3,2,2
ESCUELA TLATELOLCO SCHOOL,0880,DENVER COUNTY 1,M,MH,2789,,,2
ESTES PARK K-5 SCHOOL,1570,PARK (ESTES PARK) R-3,E,,2790,2,3,3
ESTES PARK MIDDLE SCHOOL,1570,PARK (ESTES PARK) R-3,M,,2792,2,3,3
ESTES PARK HIGH SCHOOL,1570,PARK (ESTES PARK) R-3,H,,2794,3,2,2
EXCEL ACADEMY CHARTER SCHOOL,1420,JEFFERSON COUNTY R-1,E,EMH,2799,2,3,3
EXCEL ACADEMY CHARTER SCHOOL,1420,JEFFERSON COUNTY R-1,H,EMH,2799,,,
EXCEL ACADEMY CHARTER SCHOOL,1420,JEFFERSON COUNTY R-1,M,EMH,2799,3,2,3
EXPLORER ELEMENTARY SCHOOL,1040,ACADEMY 20,E,,2800,2,2,2
EUCLID MIDDLE SCHOOL,0140,LITTLETON 6,M,,2804,2,2,2
EVANS ELEMENTARY SCHOOL,0100,ALAMOSA RE-11J,E,,2818,2,3,3
EVERITT MIDDLE SCHOOL,1420,JEFFERSON COUNTY R-1,M,,2820,1,2,1
EVERGREEN MIDDLE SCHOOL,1420,JEFFERSON COUNTY R-1,M,,2832,2,2,2
EVERGREEN HIGH SCHOOL,1420,JEFFERSON COUNTY R-1,H,,2836,3,2,2
EARLY COLLEGE HIGH SCHOOL AT ARVADA,8001,CHARTER SCHOOL INSTITUTE,H,,2837,1,2,2
EXPEDITIONARY LEARNING SCHOOL,9130,EXPEDITIONARY BOCES,E,,2840,2,2,2
EXPEDITIONARY LEARNING SCHOOL,9130,EXPEDITIONARY BOCES,H,,2840,1,2,2
EXPEDITIONARY LEARNING SCHOOL,9130,EXPEDITIONARY BOCES,M,,2840,3,2,2
UNIVERSITY SCHOOLS,3120,GREELEY 6,E,,2850,3,2,2
UNIVERSITY SCHOOLS,3120,GREELEY 6,H,,2850,2,2,2
UNIVERSITY SCHOOLS,3120,GREELEY 6,M,,2850,1,2,1
FAIRMONT K-8 SCHOOL,0880,DENVER COUNTY 1,E,EM,2856,1,2,1
FAIRMONT K-8 SCHOOL,0880,DENVER COUNTY 1,M,EM,2856,1,2,1
FAIRMOUNT ELEMENTARY SCHOOL,1420,JEFFERSON COUNTY R-1,E,,2866,2,2,2
FAIRVIEW ELEMENTARY SCHOOL,0070,WESTMINSTER 50,E,,2876,1,1,2
FALCON VIRTUAL ACADEMY,1110,FALCON 49,,,2877,,,
FAIRVIEW ELEMENTARY SCHOOL,0880,DENVER COUNTY 1,E,,2880,3,2,2
FAIRVIEW HIGH SCHOOL,0480,BOULDER VALLEY RE 2,H,,2892,2,2,2
FALCON CREEK MIDDLE SCHOOL,0130,CHERRY CREEK 5,M,,2897,2,2,2
FALCON ELEMENTARY SCHOOL,1110,FALCON 49,E,,2902,2,2,1
FALCON MIDDLE SCHOOL,1110,FALCON 49,M,,2906,3,3,3
FALCON HIGH SCHOOL,1110,FALCON 49,H,,2908,2,2,2
FALL RIVER ELEMENTARY SCHOOL,0470,ST VRAIN VALLEY RE 1J,E,,2912,2,2,1
FEDERAL HEIGHTS ELEMENTARY SCHOOL,0020,ADAMS 12 FIVE STAR SCHOOLS,E,,2918,2,2,2
FIELD ELEMENTARY SCHOOL,0140,LITTLETON 6,E,,2926,1,1,1
FIRESIDE ELEMENTARY SCHOOL,0480,BOULDER VALLEY RE 2,E,,2940,2,2,2
FISHER'S PEAK ELEMENTARY SCHOOL,1580,TRINIDAD 1,E,,2944,2,2,3
FOUNDATIONS ACADEMY,0040,BRIGHTON 27J,,,2945,,,
FITZMORRIS ELEMENTARY SCHOOL,1420,JEFFERSON COUNTY R-1,E,,2946,1,1,1
MAMMOTH HEIGHTS ELEMENTARY,0900,DOUGLAS COUNTY RE 1,E,,2952,2,2,2
STONE MOUNTAIN ELEMENTARY,0900,DOUGLAS COUNTY RE 1,E,,2953,2,2,2
ROXBOROUGH INTERMEDIATE,0900,DOUGLAS COUNTY RE 1,E,,2954,2,2,1
FLAGLER ELEMENTARY SCHOOL,1450,ARRIBA-FLAGLER C-20,E,,2956,1,2,1
FLAGLER MIDDLE SCHOOL,1450,ARRIBA-FLAGLER C-20,M,,2958,,,
FLAGLER SENIOR HIGH SCHOOL,1450,ARRIBA-FLAGLER C-20,H,,2960,2,1,2
FOCUS ACADEMY,1150,FREMONT RE-2,,,2961,,,
FALCON BLUFFS MIDDLE SCHOOL,1420,JEFFERSON COUNTY R-1,M,,2963,2,2,2
FLAGSTAFF CHARTER ACADEMY,0470,ST VRAIN VALLEY RE 1J,E,EM,2964,2,2,1
FLAGSTAFF CHARTER ACADEMY,0470,ST VRAIN VALLEY RE 1J,M,EM,2964,2,2,1
FLAGSTONE ELEMENTARY SCHOOL,0900,DOUGLAS COUNTY RE 1,E,,2965,2,2,1
FLATIRONS ELEMENTARY SCHOOL,0480,BOULDER VALLEY RE 2,E,,2970,3,2,3
FLEMING ELEMENTARY SCHOOL,1850,FRENCHMAN RE-3,E,,2980,1,1,1
FLEMING HIGH SCHOOL,1850,FRENCHMAN RE-3,H,,2988,1,2,3
FLEMING HIGH SCHOOL,1850,FRENCHMAN RE-3,M,,2988,1,1,1
FLETCHER INTERMEDIATE SCIENCE & TECHNOLOGY SCHOOL,0180,ADAMS-ARAPAHOE 28J,E,EM,2995,2,2,2
FLETCHER INTERMEDIATE SCIENCE & TECHNOLOGY SCHOOL,0180,ADAMS-ARAPAHOE 28J,M,EM,2995,2,2,2
FLETCHER PRIMARY SCHOOL,0180,ADAMS-ARAPAHOE 28J,E,,2998,2,,2
FLORENCE CRITTENTON HIGH SCHOOL,0880,DENVER COUNTY 1,H,,3000,1,1,1
FLORENCE HIGH SCHOOL,1150,FREMONT RE-2,H,,3002,2,2,3
FLORIDA MESA ELEMENTARY SCHOOL,1520,DURANGO 9-R,E,,3012,1,2,1
FOOTHILL ELEMENTARY SCHOOL,0480,BOULDER VALLEY RE 2,E,,3022,2,2,2
FOOTHILLS ELEMENTARY SCHOOL,1420,JEFFERSON COUNTY R-1,E,,3025,3,1,1
EAGLESIDE ELEMENTARY SCHOOL,1000,FOUNTAIN 8,E,,3027,2,2,1
FOX RIDGE MIDDLE SCHOOL,0130,CHERRY CREEK 5,M,,3030,2,2,2
FORCE ELEMENTARY SCHOOL,0880,DENVER COUNTY 1,E,,3032,2,3,3
FORD ELEMENTARY SCHOOL,0880,DENVER COUNTY 1,E,,3038,2,2,3
FORT COLLINS HIGH SCHOOL,1550,POUDRE R-1,H,,3046,2,2,2
FORT LEWIS MESA ELEMENTARY SCHOOL,1520,DURANGO 9-R,E,,3050,3,2,1
FORT LOGAN ELEMENTARY SCHOOL,0123,SHERIDAN 2,E,,3054,2,3,3
FORT LUPTON MIDDLE SCHOOL,3140,WELD COUNTY S/D RE-8,M,,3066,2,1,1
FORT LUPTON HIGH SCHOOL,3140,WELD COUNTY S/D RE-8,H,,3070,2,3,3
FORT MORGAN MIDDLE SCHOOL,2405,FORT MORGAN RE-3,M,,3074,2,2,2
FORT MORGAN HIGH SCHOOL,2405,FORT MORGAN RE-3,H,,3078,2,2,2
FOSTER ELEMENTARY SCHOOL,1420,JEFFERSON COUNTY R-1,E,,3088,2,2,1
LOCHBUIE ELEMENTARY SCHOOL,3090,KEENESBURG RE-3(J),E,,3090,3,2,2
ARAGON ELEMENTARY SCHOOL,1000,FOUNTAIN 8,E,,3102,1,1,1
FOOTHILLS ELEMENTARY SCHOOL,1040,ACADEMY 20,E,,3104,2,2,2
FOSSIL RIDGE HIGH SCHOOL,1550,POUDRE R-1,H,,3105,2,2,2
FOUNTAIN MIDDLE SCHOOL,1000,FOUNTAIN 8,M,,3106,3,3,2
MESA ELEMENTARY SCHOOL,1000,FOUNTAIN 8,E,,3108,2,2,2
FOUNTAIN-FORT CARSON HIGH SCHOOL,1000,FOUNTAIN 8,H,,3110,2,2,2
FOWLER JUNIOR HIGH SCHOOL,2540,FOWLER R-4J,M,,3130,2,2,2
FOWLER HIGH SCHOOL,2540,FOWLER R-4J,H,,3134,2,2,2
FOX CREEK ELEMENTARY SCHOOL,0900,DOUGLAS COUNTY RE 1,E,,3138,2,2,2
FRANCIS M. DAY ELEMENTARY SCHOOL,0070,WESTMINSTER 50,E,,3144,1,1,2
FRANKLIN MIDDLE SCHOOL,3120,GREELEY 6,M,,3162,2,2,2
FRANKTOWN ELEMENTARY SCHOOL,0900,DOUGLAS COUNTY RE 1,E,,3172,2,2,2
FREEDOM ELEMENTARY SCHOOL,1010,COLORADO SPRINGS 11,E,,3175,2,3,3
FRASER VALLEY ELEMENTARY SCHOOL,1350,EAST GRAND 2,E,,3182,2,3,3
FREDERICK ELEMENTARY SCHOOL,0470,ST VRAIN VALLEY RE 1J,E,,3192,2,2,1
COAL RIDGE MIDDLE SCHOOL,0470,ST VRAIN VALLEY RE 1J,M,,3194,2,2,2
FREDERICK SENIOR HIGH SCHOOL,0470,ST VRAIN VALLEY RE 1J,H,,3196,2,2,1
FREE HORIZON MONTESSORI CHARTER SCHOOL,1420,JEFFERSON COUNTY R-1,E,,3201,2,3,3
FREED MIDDLE SCHOOL,2690,PUEBLO CITY 60,M,,3206,3,3,3
GARDEN PARK HIGH SCHOOL,1140,CANON CITY RE-1,H,,3211,3,2,2
FREMONT ELEMENTARY SCHOOL,1420,JEFFERSON COUNTY R-1,E,,3216,2,2,2
FREMONT ELEMENTARY SCHOOL,1010,COLORADO SPRINGS 11,E,,3218,2,2,1
COTOPAXI ELEMENTARY SCHOOL,1160,COTOPAXI RE-3,E,,3220,1,1,1
FREMONT ELEMENTARY SCHOOL,1150,FREMONT RE-2,E,,3224,1,1,1
FREMONT MIDDLE SCHOOL,1150,FREMONT RE-2,M,,3226,2,2,3
COTOPAXI JUNIOR-SENIOR HIGH SCHOOL,1160,COTOPAXI RE-3,H,,3228,3,2,1
COTOPAXI JUNIOR-SENIOR HIGH SCHOOL,1160,COTOPAXI RE-3,M,,3228,1,2,1
FRENCH ELEMENTARY SCHOOL,0990,WIDEFIELD 3,E,,3234,2,2,1
FRONTIER HIGH SCHOOL,0920,ELIZABETH C-1,H,,3236,,,3
FRONTIER ELEMENTARY SCHOOL,1040,ACADEMY 20,E,,3238,2,2,2
FRONTIER VALLEY ELEMENTARY SCHOOL,0900,DOUGLAS COUNTY RE 1,E,,3241,2,2,2
FRUITA MIDDLE SCHOOL,2000,MESA COUNTY VALLEY 51,M,,3244,3,2,3
FRUITVALE ELEMENTARY SCHOOL,2000,MESA COUNTY VALLEY 51,E,,3262,2,1,1
FULTON ELEMENTARY SCHOOL,0180,ADAMS-ARAPAHOE 28J,E,,3272,2,3,3
FUTURES ACADEMY,2700,PUEBLO COUNTY 70,H,,3279,,,2
FUTURES ACADEMY,2700,PUEBLO COUNTY 70,M,,3279,,,
GRAHAM MESA ELEMENTARY SCHOOL,1195,GARFIELD RE-2,E,,3281,2,2,2
GALETON ELEMENTARY SCHOOL,3085,EATON RE-2,E,,3286,2,1,1
GARDEN PLACE ELEMENTARY SCHOOL,0880,DENVER COUNTY 1,E,,3296,3,3,3
GARDNER ELEMENTARY SCHOOL,1390,HUERFANO RE-1,E,EM,3306,1,1,3
GARDNER ELEMENTARY SCHOOL,1390,HUERFANO RE-1,M,EM,3306,1,1,3
GARFIELD ELEMENTARY SCHOOL,1560,THOMPSON R-2J,E,,3320,2,2,2
KAPLAN ACADEMY OF COLORADO,1195,GARFIELD RE-2,H,,3325,3,2,2
GARNET MESA ELEMENTARY SCHOOL,0870,DELTA COUNTY 50(J),E,,3330,3,2,2
ARCHULETA ELEMENTARY SCHOOL,0880,DENVER COUNTY 1,E,,3340,3,2,2
GATEWAY SCHOOL,2000,MESA COUNTY VALLEY 51,E,EMH,3350,,,
GATEWAY SCHOOL,2000,MESA COUNTY VALLEY 51,H,EMH,3350,,,
GATEWAY SCHOOL,2000,MESA COUNTY VALLEY 51,M,EMH,3350,,,
GATEWAY HIGH SCHOOL,0180,ADAMS-ARAPAHOE 28J,H,,3354,2,2,1
GALILEO SCHOOL OF MATH AND SCIENCE,1010,COLORADO SPRINGS 11,M,,3360,2,2,2
GEORGE WASHINGTON HIGH SCHOOL,0880,DENVER COUNTY 1,H,,3378,2,2,2
GEORGETOWN COMMUNITY SCHOOL,0540,CLEAR CREEK RE-1,E,,3385,1,2,1
GOAL GED PREP,8001,CHARTER SCHOOL INSTITUTE,,,3387,,,
GIBERSON ELEMENTARY SCHOOL,0980,HARRISON 2,E,,3392,3,3,2
GILCREST ELEMENTARY SCHOOL,3080,WELD COUNTY RE-1,E,,3398,2,2,3
GILPIN ELEMENTARY SCHOOL,0880,DENVER COUNTY 1,E,EM,3426,3,3,2
GILPIN ELEMENTARY SCHOOL,0880,DENVER COUNTY 1,M,EM,3426,1,2,2
GLENNON HEIGHTS ELEMENTARY SCHOOL,1420,JEFFERSON COUNTY R-1,E,,3450,2,2,2
GLENWOOD SPRINGS ELEMENTARY SCHOOL,1180,ROARING FORK RE-1,E,,3460,2,2,1
GLENWOOD SPRINGS MIDDLE SCHOOL,1180,ROARING FORK RE-1,M,,3464,2,2,2
GLENWOOD SPRINGS HIGH SCHOOL,1180,ROARING FORK RE-1,H,,3468,3,3,2
GLADE PARK COMMUNITY SCHOOL,2000,MESA COUNTY VALLEY 51,,,3469,,,
GLOBE CHARTER SCHOOL,1010,COLORADO SPRINGS 11,E,,3470,2,2,1
GLOBAL VILLAGE ACADEMY,0180,ADAMS-ARAPAHOE 28J,E,EM,3471,1,3,3
GLOBAL VILLAGE ACADEMY,0180,ADAMS-ARAPAHOE 28J,M,EM,3471,,,
GODDARD MIDDLE SCHOOL,0140,LITTLETON 6,M,,3472,2,2,2
GOAL ACADEMY,8001,CHARTER SCHOOL INSTITUTE,H,,3475,1,2,1
GODSMAN ELEMENTARY SCHOOL,0880,DENVER COUNTY 1,E,,3478,3,3,3
GOLD CAMP ELEMENTARY SCHOOL,1020,CHEYENNE MOUNTAIN 12,E,,3482,2,2,1
GOLD HILL ELEMENTARY SCHOOL,0480,BOULDER VALLEY RE 2,E,,3488,,,
HALCYON SCHOOL (SPECIAL EDUCATION),0480,BOULDER VALLEY RE 2,H,,3499,,,2
HALCYON SCHOOL (SPECIAL EDUCATION),0480,BOULDER VALLEY RE 2,M,,3499,,,
GOLDEN HIGH SCHOOL,1420,JEFFERSON COUNTY R-1,H,,3502,2,2,2
GOLDRICK ELEMENTARY SCHOOL,0880,DENVER COUNTY 1,E,,3512,3,2,3
FOX MEADOW MIDDLE SCHOOL,0980,HARRISON 2,M,,3522,3,2,2
GOVERNOR'S RANCH ELEMENTARY SCHOOL,1420,JEFFERSON COUNTY R-1,E,,3536,2,2,3
BEAR CREEK ELEMENTARY SCHOOL,1080,LEWIS-PALMER 38,E,,3539,2,2,2
GRANADA ELEMENTARY SCHOOL,2650,GRANADA RE-1,E,,3542,2,2,1
GRANADA UNDIVIDED HIGH SCHOOL,2650,GRANADA RE-1,H,MH,3546,1,1,1
GRANADA UNDIVIDED HIGH SCHOOL,2650,GRANADA RE-1,M,MH,3546,2,1,1
