Record_no,District Code,District Name,School Code,School Name,EMH,EMH_combined,AEC10,SPF_PS_ELL_GRAD_RATE,School_Grade,rank_tot,Overall_Ach_Grade,read_ach_grade,math_ach_grade,Write_Ach_Grade,Sci_Ach_Grade,Overall_Weighted_Growth_Grade,Read_Growth_Grade,Math_Growth_Grade,Write_Growth_Grade,ELL_Growth_Grade,SPF_PS_IND_GRAD_RATE
1038,1195,GARFIELD RE-2,7890,CACTUS VALLEY ELEMENTARY SCHOOL,E,E,N,,6,578,9,9,9,6,,6,7,6,1,9,
1039,1195,GARFIELD RE-2,0065,COAL RIDGE HIGH SCHOOL,H,H,N,-,5,247,6,6,6,5,6,3,4,5,3,,84.
1040,1195,GARFIELD RE-2,2573,ELK CREEK ELEMENTARY,E,E,N,,10,130,9,7,9,7,,9,10,9,7,7,
1041,1195,GARFIELD RE-2,3281,GRAHAM MESA ELEMENTARY SCHOOL,E,E,N,,9,215,6,5,6,6,,10,12,13,10,1,
1042,1195,GARFIELD RE-2,3967,HIGHLAND ELEMENTARY SCHOOL,E,E,N,,7,410,6,5,6,4,,7,6,12,6,5,
1043,1195,GARFIELD RE-2,4510,KATHRYN SENOR ELEMENTARY SCHOOL,E,E,N,,7,366,7,6,9,7,,9,7,7,9,9,
1044,1195,GARFIELD RE-2,7360,RIFLE HIGH SCHOOL,H,H,N,58.,6,230,6,5,6,6,6,7,8,6,7,6,75.
1045,1195,GARFIELD RE-2,7356,RIFLE MIDDLE SCHOOL,E,EM,N,,6,632,5,5,5,6,6,7,7,6,7,5,
1046,1195,GARFIELD RE-2,7356,RIFLE MIDDLE SCHOOL,M,EM,N,,6,312,5,5,5,5,6,6,6,4,9,5,
1047,1195,GARFIELD RE-2,7388,RIVERSIDE SCHOOL,E,EM,N,,4,853,6,6,6,6,6,3,5,2,6,2,
1048,1195,GARFIELD RE-2,7388,RIVERSIDE SCHOOL,M,EM,N,,9,131,6,6,6,6,6,9,9,7,9,,
1049,1195,GARFIELD RE-2,9231,WAMSLEY ELEMENTARY SCHOOL,E,E,N,,5,779,5,5,5,3,,6,5,7,4,6,
1050,1780,GENOA-HUGO C113,4158,GENOA-HUGO ELEMENTARY SCHOOL,E,E,N,,6,455,6,6,7,6,6,6,6,10,5,,
1051,1780,GENOA-HUGO C113,4160,GENOA-HUGO MIDDLE SCHOOL,M,M,N,,6,364,6,5,6,6,,6,3,6,9,,
1052,1780,GENOA-HUGO C113,4162,GENOA-HUGO SENIOR HIGH SCHOOL,H,H,N,-,4,282,3,2,5,3,2,6,1,6,7,,87.
1053,1330,GILPIN COUNTY RE-1,1632,GILPIN COUNTY ELEMENTARY SCHOOL,E,E,N,,3,927,6,6,6,6,6,1,1,3,1,,
1054,1330,GILPIN COUNTY RE-1,1634,GILPIN COUNTY UNDIVIDED HIGH SCHOOL,M,MH,N,,6,297,6,6,6,6,9,6,3,6,6,,
1055,1330,GILPIN COUNTY RE-1,1634,GILPIN COUNTY UNDIVIDED HIGH SCHOOL,H,MH,N,-,6,193,8,8,8,7,9,7,7,6,7,,82.
1056,2650,GRANADA RE-1,3542,GRANADA ELEMENTARY SCHOOL,E,E,N,,12,70,8,9,6,9,6,11,12,9,9,,
1057,2650,GRANADA RE-1,3546,GRANADA UNDIVIDED HIGH SCHOOL,M,MH,N,,5,414,6,6,6,8,4,5,3,6,2,,
1058,2650,GRANADA RE-1,3546,GRANADA UNDIVIDED HIGH SCHOOL,H,MH,N,-,6,217,6,6,6,6,3,6,9,6,3,,77.
1059,3120,GREELEY 6,0988,BRENTWOOD MIDDLE SCHOOL,M,M,N,,3,444,3,3,3,4,3,4,5,4,5,2,
1060,3120,GREELEY 6,1384,CENTENNIAL ELEMENTARY SCHOOL,E,E,N,,5,814,2,3,3,1,3,6,5,7,6,6,
1061,3120,GREELEY 6,1500,CHAPPELOW K-8 MAGNET SCHOOL,E,EM,N,,7,366,7,7,7,7,6,7,8,8,7,5,
1062,3120,GREELEY 6,1500,CHAPPELOW K-8 MAGNET SCHOOL,M,EM,N,,6,232,6,7,6,6,6,6,6,4,7,,
1063,3120,GREELEY 6,2222,DOS RIOS ELEMENTARY SCHOOL,E,E,N,,6,720,5,5,5,5,5,6,5,6,5,6,
1064,3120,GREELEY 6,2414,EAST MEMORIAL ELEMENTARY SCHOOL,E,E,N,,3,901,4,4,5,3,2,3,5,5,3,2,
1065,3120,GREELEY 6,2825,ENG@GE ONLINE ACADEMY,H,H,N,,,,,,,,,,,,,,
1066,3120,GREELEY 6,3162,FRANKLIN MIDDLE SCHOOL,M,M,N,,3,455,3,2,2,3,4,3,5,2,6,5,
1067,3120,GREELEY 6,1875,FRONTIER CHARTER ACADEMY,E,EMH,N,,12,22,11,9,10,12,11,13,12,12,13,,
1068,3120,GREELEY 6,1875,FRONTIER CHARTER ACADEMY,M,EMH,N,,6,344,9,9,9,9,9,3,1,5,3,,
1069,3120,GREELEY 6,1875,FRONTIER CHARTER ACADEMY,H,EMH,N,-,9,68,9,9,7,9,9,7,7,9,6,,92.
1070,3120,GREELEY 6,3610,GREELEY CENTRAL HIGH SCHOOL,H,H,N,53.,3,293,4,3,3,5,4,5,4,6,3,2,67.
1071,3120,GREELEY 6,3614,GREELEY WEST HIGH SCHOOL,H,H,N,50.,3,288,5,5,5,5,4,5,5,6,3,1,69.
1072,3120,GREELEY 6,3880,HEATH MIDDLE SCHOOL,M,M,N,,6,364,5,5,5,5,6,6,7,5,6,1,
1073,3120,GREELEY 6,0052,HEIMAN ELEMENTARY SCHOOL,E,E,N,,6,578,6,6,6,6,5,6,6,7,6,9,
1074,3120,GREELEY 6,4356,JACKSON ELEMENTARY SCHOOL,E,E,N,,5,779,3,3,4,2,3,6,6,6,8,5,
1076,3120,GREELEY 6,4438,JOHN EVANS MIDDLE SCHOOL,M,M,N,,1,477,1,1,1,1,1,2,4,1,5,2,
1077,3120,GREELEY 6,5412,MADISON ELEMENTARY SCHOOL,E,E,N,,3,913,3,3,4,4,3,5,3,6,5,4,
1078,3120,GREELEY 6,5620,MAPLEWOOD ELEMENTARY SCHOOL,E,E,N,,3,901,1,2,1,1,1,6,5,6,6,5,
1079,3120,GREELEY 6,6774,MARTINEZ ELEMENTARY SCHOOL,E,E,N,,1,969,3,3,5,3,1,3,1,4,4,4,
1080,3120,GREELEY 6,5660,MCAULIFFE ELEMENTARY SCHOOL,E,E,N,,6,608,9,9,10,10,9,5,5,5,5,9,
1081,3120,GREELEY 6,5752,MEEKER ELEMENTARY SCHOOL,E,E,N,,4,853,5,5,5,6,5,3,1,5,3,9,
1082,3120,GREELEY 6,5985,MONFORT ELEMENTARY SCHOOL,E,E,N,,8,316,6,6,7,6,6,7,6,9,6,3,
1083,3120,GREELEY 6,6364,NORTHRIDGE HIGH SCHOOL,H,H,N,64.,1,315,2,2,2,3,1,2,4,2,2,1,73.
1084,3120,GREELEY 6,0054,ROMERO ELEMENTARY SCHOOL,E,E,N,,5,814,2,1,4,1,1,6,6,7,6,5,
1085,3120,GREELEY 6,7700,SCOTT ELEMENTARY SCHOOL,E,E,N,,6,559,6,5,6,6,6,6,6,8,6,6,
1086,3120,GREELEY 6,7814,SHAWSHEEN ELEMENTARY SCHOOL,E,E,N,,4,853,6,6,6,6,5,5,1,6,3,6,
1087,3120,GREELEY 6,8965,UNION COLONY PREPARATORY SCHOOL,M,MH,N,,6,332,8,9,6,9,9,4,3,5,5,,
1088,3120,GREELEY 6,8965,UNION COLONY PREPARATORY SCHOOL,H,MH,N,-,10,46,9,9,8,11,9,9,6,9,9,,81.
1089,3120,GREELEY 6,2850,UNIVERSITY SCHOOLS,E,EMH,N,,3,913,6,6,6,6,6,2,3,3,1,5,
1090,3120,GREELEY 6,2850,UNIVERSITY SCHOOLS,M,EMH,N,,5,375,6,6,6,6,5,6,4,8,5,,
1091,3120,GREELEY 6,2850,UNIVERSITY SCHOOLS,H,EMH,N,-,8,113,6,6,6,6,6,6,6,8,5,,92.
1092,3120,GREELEY 6,9611,WEST RIDGE ACADEMY,E,EM,N,,,,6,6,5,6,6,,,,,,
1093,3120,GREELEY 6,9611,WEST RIDGE ACADEMY,M,EM,N,,,,10,12,6,11,,6,7,1,7,,
1094,3120,GREELEY 6,0053,WINOGRAD K-8 ELEMENTARY SCHOOL,E,EM,N,,6,608,6,6,7,6,6,5,5,6,6,5,
1095,3120,GREELEY 6,0053,WINOGRAD K-8 ELEMENTARY SCHOOL,M,EM,N,,6,356,6,6,6,7,6,5,6,3,6,6,
1096,1360,GUNNISON WATERSHED RE1J,2006,CRESTED BUTTE COMMUNITY SCHOOL,E,EMH,N,,9,236,10,10,9,9,9,6,6,7,7,,
1097,1360,GUNNISON WATERSHED RE1J,2006,CRESTED BUTTE COMMUNITY SCHOOL,M,EMH,N,,12,16,12,10,12,11,9,12,6,12,12,,
1098,1360,GUNNISON WATERSHED RE1J,2006,CRESTED BUTTE COMMUNITY SCHOOL,H,EMH,N,-,12,22,12,12,12,12,11,10,10,11,8,,91.
1099,1360,GUNNISON WATERSHED RE1J,3690,GUNNISON ELEMENTARY SCHOOL,E,E,N,,6,455,6,7,6,6,7,6,5,9,6,1,
1100,1360,GUNNISON WATERSHED RE1J,3694,GUNNISON HIGH SCHOOL,H,H,N,-,7,144,6,6,7,6,7,8,8,7,7,,85.
1101,1360,GUNNISON WATERSHED RE1J,3697,GUNNISON MIDDLE SCHOOL,M,M,N,,9,120,7,6,7,6,7,8,6,9,7,10,
1102,1360,GUNNISON WATERSHED RE1J,5577,MARBLE CHARTER SCHOOL,E,EM,N,,,,8,6,10,7,,,,,,,
1103,1360,GUNNISON WATERSHED RE1J,5577,MARBLE CHARTER SCHOOL,M,EM,N,,,,12,11,12,9,,9,7,9,6,,
1104,1070,HANOVER 28,3758,HANOVER JUNIOR-SENIOR HIGH SCHOOL,E,EMH,N,,1,994,3,3,3,4,4,1,1,3,1,,
1105,1070,HANOVER 28,3758,HANOVER JUNIOR-SENIOR HIGH SCHOOL,M,EMH,N,,5,375,4,5,1,5,5,6,4,6,7,,
1106,1070,HANOVER 28,3758,HANOVER JUNIOR-SENIOR HIGH SCHOOL,H,EMH,N,-,9,53,6,6,4,6,9,12,10,11,12,,-
1107,1070,HANOVER 28,6701,PRAIRIE HEIGHTS ELEMENTARY SCHOOL,E,E,N,,6,673,7,6,7,9,,6,1,5,13,5,
1108,0980,HARRISON 2,0469,ATLAS PREPARATORY SCHOOL,E,EM,N,,4,853,5,5,5,5,6,5,3,6,4,1,
1109,0980,HARRISON 2,0469,ATLAS PREPARATORY SCHOOL,M,EM,N,,5,414,6,5,6,6,,5,5,4,6,,
1110,0980,HARRISON 2,1000,BRICKER ELEMENTARY SCHOOL,E,E,N,,3,927,6,6,6,6,5,3,5,3,2,6,
1111,0980,HARRISON 2,1306,CARMEL MIDDLE SCHOOL,M,M,N,,9,75,6,6,6,5,6,11,10,12,7,9,
1112,0980,HARRISON 2,1383,CENTENNIAL ELEMENTARY SCHOOL,E,E,N,,8,316,5,5,6,5,5,9,8,9,8,6,
1113,0980,HARRISON 2,3522,FOX MEADOW MIDDLE SCHOOL,M,M,N,,6,319,6,6,6,6,6,6,9,6,6,6,
1114,0980,HARRISON 2,3392,GIBERSON ELEMENTARY SCHOOL,E,E,N,,6,738,5,5,5,5,5,5,6,5,5,7,
1115,0980,HARRISON 2,3806,HARRISON HIGH SCHOOL,H,H,N,80.,6,159,6,6,6,6,5,10,12,6,11,9,80.
1117,0980,HARRISON 2,4380,JAMES IRWIN CHARTER ELEMENTARY SCHOOL,E,E,N,,10,106,12,13,12,13,10,9,9,6,10,9,
1118,0980,HARRISON 2,4378,JAMES IRWIN CHARTER HIGH SCHOOL,H,H,N,-,9,61,10,10,9,10,9,6,6,6,6,,88.
1119,0980,HARRISON 2,4379,JAMES IRWIN CHARTER MIDDLE SCHOOL,M,M,N,,6,250,9,9,10,9,6,6,5,6,5,,
1120,0980,HARRISON 2,6018,MONTEREY ELEMENTARY SCHOOL,E,E,N,,6,559,6,6,6,6,5,7,9,6,7,6,
1121,0980,HARRISON 2,6162,MOUNTAIN VISTA COMMUNITY SCHOOL,E,EM,N,,6,578,6,6,6,6,6,6,10,8,5,3,
1122,0980,HARRISON 2,6162,MOUNTAIN VISTA COMMUNITY SCHOOL,M,EM,N,,9,131,6,6,6,6,6,9,9,11,9,2,
1123,0980,HARRISON 2,6460,OAK CREEK ELEMENTARY SCHOOL,E,E,N,,6,507,6,5,6,6,5,7,6,7,8,6,
1124,0980,HARRISON 2,6578,OTERO ELEMENTARY SCHOOL,E,E,N,,6,578,6,6,6,7,7,6,7,6,6,3,
1125,0980,HARRISON 2,6686,PANORAMA MIDDLE SCHOOL,M,M,N,,6,344,5,5,6,5,6,6,6,7,6,5,
1126,0980,HARRISON 2,6936,PIKES PEAK ELEMENTARY SCHOOL,E,E,N,,6,632,6,5,6,6,6,6,6,7,6,6,
1127,0980,HARRISON 2,7611,SAND CREEK ELEMENTARY SCHOOL,E,E,N,,6,632,5,6,5,6,5,6,7,6,6,3,
1128,0980,HARRISON 2,7882,SIERRA HIGH SCHOOL,H,H,N,64.,5,260,5,5,5,6,4,5,5,5,6,7,79.
1129,0980,HARRISON 2,8034,SOARING EAGLES ELEMENTARY SCHOOL,E,E,N,,9,180,10,9,12,9,11,9,10,6,8,6,
1130,0980,HARRISON 2,8337,STRATMOOR HILLS ELEMENTARY SCHOOL,E,E,N,,5,800,5,5,5,5,6,6,5,6,7,1,
1131,0980,HARRISON 2,8350,STRATTON MEADOWS ELEMENTARY SCHOOL,E,E,N,,7,366,6,7,6,7,6,7,10,6,9,5,
1132,0980,HARRISON 2,8923,TURMAN ELEMENTARY SCHOOL,E,E,N,,10,146,6,6,6,6,6,12,11,8,12,12,
1133,0980,HARRISON 2,9602,WILDFLOWER ELEMENTARY SCHOOL,E,E,N,,9,236,10,9,8,12,9,6,6,6,9,8,
1134,2630,HAXTUN RE-2J,3846,HAXTUN ELEMENTARY SCHOOL,E,EM,N,,6,507,7,6,7,7,6,6,6,6,6,,
1135,2630,HAXTUN RE-2J,3846,HAXTUN ELEMENTARY SCHOOL,M,EM,N,,9,75,9,9,7,9,8,10,11,6,12,,
1136,2630,HAXTUN RE-2J,3850,HAXTUN HIGH SCHOOL,H,H,N,-,12,19,8,10,6,12,5,12,12,12,9,,92.
1137,2760,HAYDEN RE-1,3862,HAYDEN HIGH SCHOOL,H,H,N,-,6,182,5,5,6,5,6,6,4,10,5,,100.
1138,2760,HAYDEN RE-1,3860,HAYDEN MIDDLE SCHOOL,M,M,N,,5,406,5,6,5,5,3,5,6,5,3,,
1139,2760,HAYDEN RE-1,2522,HAYDEN VALLEY ELEMENTARY SCHOOL,E,E,N,,6,608,7,6,10,6,8,6,3,7,7,,
1140,1380,HINSDALE COUNTY RE 1,4899,LAKE CITY COMMUNITY SCHOOL,E,EMH,N,,,,11,9,12,10,13,10,12,6,12,,
1141,1380,HINSDALE COUNTY RE 1,4899,LAKE CITY COMMUNITY SCHOOL,M,EMH,N,,,,10,12,10,9,7,7,9,5,9,,
1142,1380,HINSDALE COUNTY RE 1,4899,LAKE CITY COMMUNITY SCHOOL,H,EMH,N,-,,,12,13,12,12,,12,11,13,6,,-
1143,1460,HI-PLAINS R-23,9164,HI PLAINS ELEMENTARY SCHOOL,E,E,N,,7,434,6,6,8,6,5,6,5,9,3,,
1144,1460,HI-PLAINS R-23,7746,HI PLAINS UNDIVIDED HIGH SCHOOL,M,MH,N,,5,414,6,6,6,6,5,2,1,3,5,,
1145,1460,HI-PLAINS R-23,7746,HI PLAINS UNDIVIDED HIGH SCHOOL,H,MH,N,-,9,86,6,6,6,6,6,9,11,9,6,,91.
1146,1600,HOEHNE REORGANIZED 3,4044,HOEHNE ELEMENTARY SCHOOL,E,E,N,,5,779,7,7,7,6,9,3,5,2,6,,
1147,1600,HOEHNE REORGANIZED 3,4048,HOEHNE HIGH SCHOOL,H,H,N,-,7,124,7,6,7,7,8,7,6,10,6,,88.
1148,1600,HOEHNE REORGANIZED 3,4045,HOEHNE JUNIOR HIGH SCHOOL,M,M,N,,6,364,6,7,6,6,6,5,6,7,1,,
1149,2670,HOLLY RE-3,4058,HOLLY HIGH SCHOOL,H,H,N,-,9,77,6,6,6,6,6,9,9,6,9,,93.
1150,2670,HOLLY RE-3,4069,HOLLY JUNIOR HIGH SCHOOL,M,M,N,,7,191,6,6,6,6,5,9,9,7,7,,
1151,2670,HOLLY RE-3,7794,SHANNER ELEMENTARY SCHOOL,E,E,N,,6,608,6,6,6,6,6,6,6,6,6,5,
1152,2620,HOLYOKE RE-1J,4076,HOLYOKE ELEMENTARY SCHOOL,E,E,N,,6,673,6,6,6,6,6,6,6,6,5,6,
1153,2620,HOLYOKE RE-1J,4080,HOLYOKE SENIOR HIGH SCHOOL,M,MH,N,,3,444,5,4,5,5,6,3,1,5,3,,
1154,2620,HOLYOKE RE-1J,4080,HOLYOKE SENIOR HIGH SCHOOL,H,MH,N,-,6,159,6,6,6,6,6,9,7,9,8,,92.
1155,1390,HUERFANO RE-1,3306,GARDNER ELEMENTARY SCHOOL,E,EM,N,,1,990,6,6,6,6,5,1,1,1,1,,
1156,1390,HUERFANO RE-1,3306,GARDNER ELEMENTARY SCHOOL,M,EM,N,,5,384,5,6,4,4,,5,7,6,1,,
1157,1390,HUERFANO RE-1,9212,JOHN MALL HIGH SCHOOL,H,H,N,-,6,230,5,5,3,5,3,7,9,6,6,,95.
1158,1390,HUERFANO RE-1,0063,PEAKVIEW SCHOOL,E,EM,N,,1,983,6,6,6,6,3,1,1,1,1,,
1159,1390,HUERFANO RE-1,0063,PEAKVIEW SCHOOL,M,EM,N,,6,356,6,6,5,6,6,6,9,4,4,,
1160,3220,IDALIA RJ-3,4227,IDALIA ELEMENTARY SCHOOL,E,E,N,,5,800,6,5,6,6,3,4,1,6,5,3,
1161,3220,IDALIA RJ-3,4231,IDALIA JUNIOR-SENIOR HIGH SCHOOL,M,MH,N,,8,162,5,4,6,4,5,10,9,12,6,,
1162,3220,IDALIA RJ-3,4231,IDALIA JUNIOR-SENIOR HIGH SCHOOL,H,MH,N,-,9,77,6,6,6,6,6,9,8,7,10,,96.
1163,1540,IGNACIO 11 JT,4250,IGNACIO ELEMENTARY SCHOOL,E,E,N,,,,6,5,6,6,,,,,,1,
1164,1540,IGNACIO 11 JT,4258,IGNACIO HIGH SCHOOL,H,H,N,-,3,301,3,3,3,3,5,2,1,5,1,,67.
1165,1540,IGNACIO 11 JT,4252,IGNACIO INTERMEDIATE SCHOOL,E,E,N,,2,939,4,5,3,5,4,3,5,3,1,,
1166,1540,IGNACIO 11 JT,4254,IGNACIO JUNIOR HIGH SCHOOL,M,M,N,,1,473,3,3,3,3,6,3,3,6,2,,
1167,1420,JEFFERSON COUNTY R-1,0030,ADAMS ELEMENTARY SCHOOL,E,E,N,,9,296,9,9,8,9,9,7,9,6,6,9,
1168,1420,JEFFERSON COUNTY R-1,0108,ALAMEDA HIGH SCHOOL,H,H,N,70.,3,288,3,3,3,2,3,5,5,5,5,6,74.
1169,1420,JEFFERSON COUNTY R-1,0148,ALLENDALE ELEMENTARY SCHOOL,E,E,N,,6,720,5,6,5,4,5,6,7,6,5,6,
1170,1420,JEFFERSON COUNTY R-1,0370,ARVADA HIGH SCHOOL,H,H,N,62.,5,270,5,5,5,5,5,5,1,6,5,9,77.
1171,1420,JEFFERSON COUNTY R-1,0109,ARVADA K-8,E,EM,N,,6,693,5,5,5,3,3,7,6,9,6,6,
1172,1420,JEFFERSON COUNTY R-1,0109,ARVADA K-8,M,EM,N,,6,285,5,4,5,4,6,6,6,6,7,11,
1173,1420,JEFFERSON COUNTY R-1,0378,ARVADA WEST HIGH SCHOOL,H,H,N,-,6,188,7,6,8,6,7,6,5,6,5,,86.
1174,1420,JEFFERSON COUNTY R-1,0664,BEAR CREEK HIGH SCHOOL,H,H,N,86.,7,144,7,6,8,6,6,5,6,6,3,9,89.
1175,1420,JEFFERSON COUNTY R-1,0660,BEAR CREEK K-8 SCHOOL,E,EM,N,,6,455,7,7,8,8,6,6,6,6,7,10,
1176,1420,JEFFERSON COUNTY R-1,0660,BEAR CREEK K-8 SCHOOL,M,EM,N,,10,64,10,9,10,9,12,9,9,9,7,,
1177,1420,JEFFERSON COUNTY R-1,0694,BELL MIDDLE SCHOOL,M,M,N,,7,201,7,7,6,6,9,6,7,6,6,9,
1178,1420,JEFFERSON COUNTY R-1,0724,BELMAR ELEMENTARY SCHOOL,E,E,N,,6,738,6,6,6,6,6,6,6,5,5,7,
1179,1420,JEFFERSON COUNTY R-1,0779,BERGEN VALLEY INTERMEDIATE SCHOOL,E,E,N,,9,215,12,12,11,12,12,8,9,8,6,,
1180,1420,JEFFERSON COUNTY R-1,0951,BLUE HERON ELEMENTARY SCHOOL,E,E,N,,8,338,9,9,9,9,7,7,6,8,6,12,
1181,1420,JEFFERSON COUNTY R-1,0952,BRADFORD INTERMEDIATE SCHOOL,E,E,N,,13,1,13,13,13,13,12,12,12,12,10,,
1182,1420,JEFFERSON COUNTY R-1,0950,BRADFORD PRIMARY SCHOOL,E,E,N,,,,13,13,12,13,,,,,,,
1184,1420,JEFFERSON COUNTY R-1,1238,CAMPBELL ELEMENTARY SCHOOL,E,E,N,,10,146,7,7,6,9,7,10,7,9,12,,
1185,1420,JEFFERSON COUNTY R-1,1318,CARMODY MIDDLE SCHOOL,M,M,N,,6,319,6,6,6,6,7,6,6,6,5,,
1186,1420,JEFFERSON COUNTY R-1,1522,CHATFIELD HIGH SCHOOL,H,H,N,-,9,77,9,9,10,9,8,5,1,7,5,,87.
1187,1420,JEFFERSON COUNTY R-1,1730,COAL CREEK CANYON K-8 ELEMENTARY SCHOOL,E,EM,N,,10,130,9,10,8,9,11,10,12,8,9,,
1188,1420,JEFFERSON COUNTY R-1,1730,COAL CREEK CANYON K-8 ELEMENTARY SCHOOL,M,EM,N,,12,22,9,9,9,7,10,13,13,12,12,,
1189,1420,JEFFERSON COUNTY R-1,7701,COLLEGIATE ACADEMY OF COLORADO,E,EMH,N,,5,827,7,7,7,6,9,3,5,3,3,,
1190,1420,JEFFERSON COUNTY R-1,7701,COLLEGIATE ACADEMY OF COLORADO,M,EMH,N,,7,217,6,6,7,6,6,6,5,9,6,,
1191,1420,JEFFERSON COUNTY R-1,7701,COLLEGIATE ACADEMY OF COLORADO,H,EMH,N,-,7,124,8,8,9,9,6,9,6,10,7,,86.
1192,1420,JEFFERSON COUNTY R-1,1790,COLOROW ELEMENTARY SCHOOL,E,E,N,,9,296,7,8,6,7,8,7,9,6,6,10,
1193,1420,JEFFERSON COUNTY R-1,1864,COLUMBINE HIGH SCHOOL,H,H,N,-,6,171,8,7,9,7,7,6,4,6,6,,87.
1194,1420,JEFFERSON COUNTY R-1,1861,COLUMBINE HILLS ELEMENTARY SCHOOL,E,E,N,,9,215,9,9,7,8,9,9,9,10,7,11,
1195,1420,JEFFERSON COUNTY R-1,1880,COMPASS MONTESSORI - GOLDEN CHARTER SCHOOL,E,EMH,N,,5,840,6,6,5,6,6,3,6,1,4,,
1196,1420,JEFFERSON COUNTY R-1,1880,COMPASS MONTESSORI - GOLDEN CHARTER SCHOOL,M,EMH,N,,6,332,5,6,3,5,6,5,5,6,6,,
1197,1420,JEFFERSON COUNTY R-1,1880,COMPASS MONTESSORI - GOLDEN CHARTER SCHOOL,H,EMH,N,-,13,5,6,7,6,7,6,13,12,12,12,,97.
1198,1420,JEFFERSON COUNTY R-1,1869,COMPASS MONTESSORI - WHEAT RIDGE CHARTER SCHOOL,E,E,N,,6,538,7,9,6,7,9,6,6,5,7,,
1199,1420,JEFFERSON COUNTY R-1,1886,CONIFER SENIOR HIGH SCHOOL,H,H,N,-,12,22,11,10,10,10,10,9,6,9,10,,92.
1202,1420,JEFFERSON COUNTY R-1,1876,CORONADO ELEMENTARY SCHOOL,E,E,N,,9,265,10,9,9,10,10,9,9,9,7,7,
1203,1420,JEFFERSON COUNTY R-1,1976,CREIGHTON MIDDLE SCHOOL,M,M,N,,5,406,6,6,6,6,6,3,2,6,3,5,
1204,1420,JEFFERSON COUNTY R-1,2093,DAKOTA RIDGE SENIOR HIGH SCHOOL,H,H,N,-,9,98,9,9,9,9,8,6,6,7,5,9,85.
1205,1420,JEFFERSON COUNTY R-1,8090,DEANE ELEMENTARY SCHOOL,E,E,N,,6,608,6,6,5,6,6,6,6,8,6,5,
1206,1420,JEFFERSON COUNTY R-1,2130,DEER CREEK MIDDLE SCHOOL,M,M,N,,10,69,10,9,10,10,9,7,7,9,6,,
1207,1420,JEFFERSON COUNTY R-1,9432,DENNISON ELEMENTARY SCHOOL,E,E,N,,13,14,13,13,13,13,13,11,9,10,9,12,
1208,1420,JEFFERSON COUNTY R-1,2120,D'EVELYN JUNIOR/SENIOR HIGH SCHOOL,M,MH,N,,8,162,13,12,13,12,12,3,1,6,1,,
1209,1420,JEFFERSON COUNTY R-1,2120,D'EVELYN JUNIOR/SENIOR HIGH SCHOOL,H,MH,N,-,12,15,13,13,13,13,13,9,9,9,6,,100.
1210,1420,JEFFERSON COUNTY R-1,2194,DEVINNY ELEMENTARY SCHOOL,E,E,N,,12,63,12,12,9,12,12,10,9,10,9,6,
1211,1420,JEFFERSON COUNTY R-1,2288,DRAKE JUNIOR HIGH SCHOOL,M,M,N,,9,148,9,9,9,9,10,6,6,7,6,,
1212,1420,JEFFERSON COUNTY R-1,2300,DUNSTAN MIDDLE SCHOOL,M,M,N,,9,111,9,8,9,8,10,8,6,10,6,,
1213,1420,JEFFERSON COUNTY R-1,2322,DUTCH CREEK ELEMENTARY SCHOOL,E,E,N,,9,236,7,7,6,7,8,9,9,9,6,,
1214,1420,JEFFERSON COUNTY R-1,2496,EDGEWATER ELEMENTARY SCHOOL,E,E,N,,9,248,5,5,5,4,3,9,10,12,8,6,
1215,1420,JEFFERSON COUNTY R-1,2550,EIBER ELEMENTARY SCHOOL,E,E,N,,6,720,3,3,3,3,4,6,5,8,6,6,
1216,1420,JEFFERSON COUNTY R-1,2616,ELK CREEK ELEMENTARY SCHOOL,E,E,N,,13,14,12,12,12,12,12,13,12,11,12,,
1217,1420,JEFFERSON COUNTY R-1,2836,EVERGREEN HIGH SCHOOL,H,H,N,-,12,19,12,12,13,12,12,9,7,9,6,,94.
1218,1420,JEFFERSON COUNTY R-1,2832,EVERGREEN MIDDLE SCHOOL,M,M,N,,13,9,12,12,12,12,12,11,9,11,9,,
1219,1420,JEFFERSON COUNTY R-1,2820,EVERITT MIDDLE SCHOOL,M,M,N,,5,406,5,5,5,5,5,5,4,6,3,6,
1220,1420,JEFFERSON COUNTY R-1,2799,EXCEL ACADEMY CHARTER SCHOOL,E,EM,N,,7,434,7,7,7,7,8,6,6,8,6,,
1221,1420,JEFFERSON COUNTY R-1,2799,EXCEL ACADEMY CHARTER SCHOOL,M,EM,N,,9,90,7,7,9,6,9,9,6,12,7,,
1222,1420,JEFFERSON COUNTY R-1,2866,FAIRMOUNT ELEMENTARY SCHOOL,E,E,N,,11,95,9,9,9,9,10,12,12,11,10,12,
1223,1420,JEFFERSON COUNTY R-1,2963,FALCON BLUFFS MIDDLE SCHOOL,M,M,N,,7,201,9,9,9,9,9,6,6,6,5,,
1224,1420,JEFFERSON COUNTY R-1,2946,FITZMORRIS ELEMENTARY SCHOOL,E,E,N,,10,146,6,6,6,6,6,12,9,12,10,,
1225,1420,JEFFERSON COUNTY R-1,3025,FOOTHILLS ELEMENTARY SCHOOL,E,E,N,,6,693,6,6,6,6,6,5,6,4,4,6,
1226,1420,JEFFERSON COUNTY R-1,3088,FOSTER ELEMENTARY SCHOOL,E,E,N,,6,507,6,6,5,6,6,8,6,9,8,7,
