SchoolName,DistrictNumber,DistrictName,EMH,EMH_combined,SchoolNumber,AEC_10,CharterorOnline,LowestGrade,HighestGrade,INITIAL_PlanType,FINAL_PlanType,Notes,EMH_2lvl,LT100pnts,School_Grade,rank_tot,Overall_ACH_Grade,Read_Ach_Grade,Math_Ach_Grade,Write_Ach_Grade,Sci_Ach_Grade,Overall_Weighted_Growth_Grade,Read_Growth_Grade,Math_Growth_Grade,Write_Growth_Grade,SPF_PS_IND_GRAD_RATE
VASSAR ELEMENTARY SCHOOL,0180,ADAMS-ARAPAHOE 28J,E,,9059,0,,Kindergarten,5th Grade,Performance Plan,Performance Plan,,1,0,6,775,6,5,6,6,5,7,6,8,8,
CREEKSIDE ELEMENTARY SCHOOL AT MARTIN PARK,0480,BOULDER VALLEY RE 2,E,,5606,0,,Pre-Kindergarten,5th Grade,Performance Plan,Performance Plan,,1,0,6,775,6,6,6,6,6,6,6,6,9,
SAMUELS ELEMENTARY SCHOOL,0880,DENVER COUNTY 1,E,,7578,0,,Pre-Kindergarten,5th Grade,Performance Plan,Performance Plan,,1,0,6,775,5,5,6,5,6,8,6,7,8,
AXL ACADEMY,0180,ADAMS-ARAPAHOE 28J,E,,0213,0,Charter,Kindergarten,6th Grade,Improvement Plan,Improvement Plan,,1,0,5,778,4,4,3,4,3,9,9,7,7,
SUMMIT ELEMENTARY SCHOOL,0130,CHERRY CREEK 5,E,,8380,0,,Pre-Kindergarten,5th Grade,Performance Plan,Performance Plan,,1,0,6,778,7,7,8,6,8,6,7,5,6,
PUEBLO CHARTER SCHOOL FOR THE ARTS & SCIENCES,2690,PUEBLO CITY 60,M,,7209,0,Charter,Kindergarten,8th Grade,Performance Plan,Performance Plan,,1,0,6,778,6,8,5,7,10,6,9,3,7,
SKY VIEW MIDDLE SCHOOL,2700,PUEBLO COUNTY 70,M,,0025,0,,6th Grade,8th Grade,Performance Plan,Performance Plan,,1,0,6,778,6,7,6,7,7,6,6,6,7,
CENTURY MIDDLE SCHOOL,0020,ADAMS 12 FIVE STAR SCHOOLS,M,,1480,0,,6th Grade,8th Grade,Performance Plan,Performance Plan,,1,0,6,782,6,7,6,7,9,6,6,5,6,
PARK ELEMENTARY SCHOOL,1520,DURANGO 9-R,E,,6738,0,,Pre-Kindergarten,5th Grade,Performance Plan,Performance Plan,,1,0,6,782,7,7,8,6,9,6,6,6,6,
PEYTON JUNIOR/SENIOR HIGH SCHOOL,1060,PEYTON 23 JT,M,,6902,0,,7th Grade,12th Grade,Performance Plan,Performance Plan,,1,0,6,782,6,6,6,8,7,6,5,7,5,
DILLON VALLEY ELEMENTARY SCHOOL,3000,SUMMIT RE-1,E,,8370,0,,Pre-Kindergarten,5th Grade,Performance Plan,Performance Plan,,1,0,6,785,5,3,5,5,5,9,9,9,7,
KEMP ELEMENTARY SCHOOL,0030,ADAMS COUNTY 14,E,,4536,0,,Pre-Kindergarten,5th Grade,Performance Plan,Performance Plan,,1,0,6,786,5,4,6,4,6,7,7,9,6,
BYERS ELEMENTARY SCHOOL,0190,BYERS 32J,E,,1168,0,,Pre-Kindergarten,6th Grade,Performance Plan,Performance Plan,,1,0,6,786,7,8,8,7,7,4,1,6,5,
MADISON EXPLORATORY SCHOOL,1140,CANON CITY RE-1,E,,5414,0,,1st Grade,6th Grade,Performance Plan,Performance Plan,,1,0,6,786,6,7,7,6,5,6,6,6,7,
MOORE K-8 SCHOOL,0880,DENVER COUNTY 1,E,EM,6088,0,,Pre-Kindergarten,8th Grade,Performance Plan,Improvement Plan,Ratings combined across grade levels at district request and deferred to district rating,1,0,6,786,6,5,6,5,6,11,9,12,9,
MOORE K-8 SCHOOL,0880,DENVER COUNTY 1,M,EM,6088,0,,Pre-Kindergarten,8th Grade,Performance Plan,Improvement Plan,Ratings combined across grade levels at district request and deferred to district rating,1,0,6,786,4,5,2,5,5,6,3,3,9,
EAGLESIDE ELEMENTARY SCHOOL,1000,FOUNTAIN 8,E,,3027,0,,Pre-Kindergarten,5th Grade,Performance Plan,Performance Plan,,1,0,6,786,9,7,9,8,7,5,5,3,6,
JEFFERSON CHARTER ACADEMY JUNIOR HIGH SCHOOL,1420,JEFFERSON COUNTY R-1,M,,4404,0,Charter,7th Grade,8th Grade,Performance Plan,Performance Plan,,1,0,6,786,7,9,6,9,9,6,6,5,6,
PLAINVIEW ELEMENTARY SCHOOL,1440,PLAINVIEW RE-2,E,,6992,0,,Pre-Kindergarten,5th Grade,Performance Plan,Performance Plan,,1,0,6,786,,5,7,1,,6,3,6,11,
CORWIN INTERNATIONAL MAGNET SCHOOL,2690,PUEBLO CITY 60,E,,2096,0,,4th Grade,8th Grade,Performance Plan,Performance Plan,,1,0,6,786,9,9,10,10,6,6,6,3,9,
BEULAH MIDDLE SCHOOL,2700,PUEBLO COUNTY 70,M,,0856,0,,6th Grade,8th Grade,Performance Plan,Performance Plan,,1,0,6,786,7,9,6,8,9,6,6,6,6,
PRAIRIE WINDS ELEMENTARY SCHOOL,2700,PUEBLO COUNTY 70,E,,7153,0,,Pre-Kindergarten,5th Grade,Performance Plan,Performance Plan,,1,0,6,786,7,6,9,6,6,6,5,6,6,
SARGENT JUNIOR HIGH SCHOOL,2750,SARGENT RE-33J,M,,7668,0,,7th Grade,8th Grade,Performance Plan,Performance Plan,,1,0,6,786,9,11,6,9,12,5,3,6,5,
SILVERTON MIDDLE SCHOOL,2820,SILVERTON 1,M,,7902,0,,6th Grade,8th Grade,Performance Plan,Performance Plan,,1,0,6,786,,6,5,6,,8,6,9,6,
BIG THOMPSON ELEMENTARY SCHOOL,1560,THOMPSON R-2J,E,,0870,0,,Kindergarten,5th Grade,Performance Plan,Performance Plan,,1,0,6,786,7,8,9,6,6,6,6,6,4,
MISSION VIEJO ELEMENTARY SCHOOL,0130,CHERRY CREEK 5,E,,5934,0,,Pre-Kindergarten,5th Grade,Performance Plan,Performance Plan,,1,0,6,800,6,6,6,6,6,6,6,6,6,
IMAGINE CHARTER,0470,ST VRAIN VALLEY RE 1J,E,EM,4333,0,Charter,Pre-Kindergarten,8th Grade,Performance Plan,Performance Plan,Ratings combined across grade levels at district request,1,0,6,800,7,8,6,6,7,6,8,5,6,
IMAGINE CHARTER,0470,ST VRAIN VALLEY RE 1J,M,EM,4333,0,Charter,Pre-Kindergarten,8th Grade,Performance Plan,Performance Plan,Ratings combined across grade levels at district request,1,0,6,800,6,6,3,8,6,6,9,1,10,
GRANBY ELEMENTARY SCHOOL,1350,EAST GRAND 2,E,,3556,0,,Pre-Kindergarten,5th Grade,Performance Plan,Performance Plan,,1,0,6,803,6,6,8,6,6,6,6,6,8,
CANON CITY MIDDLE SCHOOL,1140,CANON CITY RE-1,M,,1262,0,,6th Grade,8th Grade,Performance Plan,Performance Plan,,1,0,6,804,6,6,6,6,6,6,6,6,6,
ROXBOROUGH INTERMEDIATE,0900,DOUGLAS COUNTY RE 1,E,,2954,0,,3rd Grade,6th Grade,Performance Plan,Performance Plan,,1,0,6,804,8,8,9,7,7,6,6,6,5,
LIBERTY JUNIOR-SENIOR HIGH SCHOOL,3230,LIBERTY J-4,M,MH,5123,0,,7th Grade,12th Grade,Performance Plan,Performance Plan,Ratings combined across grade levels at district request,1,0,6,804,6,6,5,6,6,5,6,3,5,
PIONEER BILINGUAL ELEMENTARY SCHOOL,0480,BOULDER VALLEY RE 2,E,,6962,0,,Pre-Kindergarten,5th Grade,Performance Plan,Performance Plan,,1,0,6,807,6,6,6,6,6,6,6,7,5,
LAS ANIMAS ELEMENTARY SCHOOL,0290,LAS ANIMAS RE-1,E,,1812,0,,Kindergarten,5th Grade,Performance Plan,Performance Plan,,1,0,6,807,10,10,10,10,8,5,5,5,6,
LINCOLN ELEMENTARY SCHOOL,1560,THOMPSON R-2J,E,,5170,0,,Kindergarten,5th Grade,Performance Plan,Performance Plan,,1,0,6,807,6,6,7,6,7,6,6,6,6,
WELDON VALLEY ELEMENTARY SCHOOL,2505,WELDON VALLEY RE-20(J),E,,9352,0,,Pre-Kindergarten,6th Grade,Performance Plan,Performance Plan,,1,0,6,807,6,6,9,6,6,7,5,8,7,
LAWRENCE ELEMENTARY SCHOOL,1420,JEFFERSON COUNTY R-1,E,,5024,0,,Pre-Kindergarten,6th Grade,Performance Plan,Performance Plan,,1,0,6,811,6,6,6,6,6,6,6,7,6,
PARR ELEMENTARY SCHOOL,1420,JEFFERSON COUNTY R-1,E,,6806,0,,Pre-Kindergarten,6th Grade,Performance Plan,Performance Plan,,1,0,6,811,6,6,6,6,6,6,10,7,2,
DRAKE JUNIOR HIGH SCHOOL,1420,JEFFERSON COUNTY R-1,M,,2288,0,,7th Grade,8th Grade,Performance Plan,Performance Plan,,1,0,6,813,7,7,6,9,8,5,5,5,5,
CENTENNIAL ELEMENTARY SCHOOL,0020,ADAMS 12 FIVE STAR SCHOOLS,E,,1388,0,,Kindergarten,5th Grade,Performance Plan,Performance Plan,,1,0,6,814,6,6,7,6,6,6,6,7,6,
NORTH ARVADA MIDDLE SCHOOL,1420,JEFFERSON COUNTY R-1,M,,6330,0,,7th Grade,8th Grade,Performance Plan,Performance Plan,,1,0,6,814,6,6,5,6,7,6,7,7,5,
TIMBERLINE ELEMENTARY SCHOOL,0130,CHERRY CREEK 5,E,,8850,0,,Pre-Kindergarten,5th Grade,Performance Plan,Performance Plan,,1,0,6,816,7,6,9,7,6,5,3,6,6,
UTE PASS ELEMENTARY SCHOOL,1030,MANITOU SPRINGS 14,E,,9010,0,,Pre-Kindergarten,5th Grade,Performance Plan,Performance Plan,,1,0,6,816,9,9,9,9,8,6,5,5,9,
LOMA ELEMENTARY SCHOOL,2000,MESA COUNTY VALLEY 51,E,,5244,0,,Pre-Kindergarten,5th Grade,Performance Plan,Performance Plan,,1,0,6,816,9,8,9,7,7,6,7,5,6,
AURORA WEST COLLEGE PREPARATORY ACADEMY,0180,ADAMS-ARAPAHOE 28J,M,,9396,0,,6th Grade,8th Grade,Performance Plan,Performance Plan,,1,0,6,819,2,3,3,3,2,10,9,10,9,
HARRY L MC GINNIS MIDDLE SCHOOL,0490,BUENA VISTA R-31,M,,1132,0,,6th Grade,8th Grade,Performance Plan,Performance Plan,,1,0,6,819,6,6,5,7,9,6,6,6,6,
MERRILL MIDDLE SCHOOL,0880,DENVER COUNTY 1,M,,5826,0,,6th Grade,8th Grade,Performance Plan,Improvement Plan,Deferred to district rating,1,0,6,819,2,2,2,3,3,9,10,8,8,
ELBERT ELEMENTARY SCHOOL,0950,ELBERT 200,E,,2570,0,,Pre-Kindergarten,6th Grade,Performance Plan,Performance Plan,,1,0,6,819,9,10,7,9,6,6,7,3,6,
IDALIA JUNIOR-SENIOR HIGH SCHOOL,3220,IDALIA RJ-3,M,,4231,0,,7th Grade,12th Grade,Performance Plan,Performance Plan,,1,0,6,819,5,5,5,5,6,8,7,13,3,
CARDINAL COMMUNITY ACADEMY CHARTER SCHOOL,3090,KEENESBURG RE-3(J),M,,1299,0,Charter,Kindergarten,8th Grade,Performance Plan,Performance Plan,,1,0,6,819,8,9,6,9,9,6,6,3,9,
VALLEY VIEW K-8,0010,MAPLETON 1,E,EM,9036,0,,Kindergarten,8th Grade,Performance Plan,Performance Plan,Ratings combined across grade levels at district request,1,0,6,819,7,6,7,9,6,11,9,10,10,
VALLEY VIEW K-8,0010,MAPLETON 1,M,EM,9036,0,,Kindergarten,8th Grade,Performance Plan,Performance Plan,Ratings combined across grade levels at district request,1,0,6,819,5,5,3,6,3,4,3,3,6,
BELMONT ELEMENTARY SCHOOL,2690,PUEBLO CITY 60,E,,0738,0,,Pre-Kindergarten,5th Grade,Performance Plan,Performance Plan,,1,0,6,819,8,9,9,8,6,5,2,6,6,
VINELAND MIDDLE SCHOOL,2700,PUEBLO COUNTY 70,M,,9134,0,,6th Grade,8th Grade,Performance Plan,Performance Plan,,1,0,6,819,6,6,6,6,9,6,6,6,6,
WALSH ELEMENTARY SCHOOL,0230,WALSH RE-1,E,,9222,0,,Pre-Kindergarten,6th Grade,Performance Plan,Performance Plan,,1,0,6,819,12,12,10,12,9,5,5,1,7,
TWOMBLY ELEMENTARY SCHOOL,3140,WELD COUNTY S/D RE-8,E,,8930,0,,Pre-Kindergarten,5th Grade,Performance Plan,Performance Plan,,1,0,6,819,5,4,6,3,5,6,5,11,3,
ESCALANTE MIDDLE SCHOOL,1520,DURANGO 9-R,M,,7994,0,,6th Grade,8th Grade,Performance Plan,Performance Plan,,1,0,6,831,6,7,6,7,9,5,5,6,5,
SUNSET MIDDLE SCHOOL,0470,ST VRAIN VALLEY RE 1J,M,,5286,0,,6th Grade,8th Grade,Performance Plan,Performance Plan,,1,0,6,831,7,7,6,9,9,7,7,6,8,
GALILEO SCHOOL OF MATH AND SCIENCE,1010,COLORADO SPRINGS 11,M,,3360,0,,6th Grade,7th Grade,Performance Plan,Performance Plan,,1,0,6,833,,6,6,6,,6,6,9,5,
KELLER ELEMENTARY SCHOOL,1010,COLORADO SPRINGS 11,E,,4530,0,,Pre-Kindergarten,5th Grade,Performance Plan,Performance Plan,,1,0,6,834,6,6,6,6,6,7,8,6,6,
FAIRVIEW ELEMENTARY SCHOOL,0880,DENVER COUNTY 1,E,,2880,0,,Pre-Kindergarten,5th Grade,Performance Plan,Improvement Plan,Deferred to district rating,1,0,6,834,,4,5,3,,9,12,6,9,
ALPINE ELEMENTARY SCHOOL,0470,ST VRAIN VALLEY RE 1J,E,,0061,0,,Pre-Kindergarten,5th Grade,Performance Plan,Performance Plan,,1,0,6,834,8,7,9,6,9,6,6,6,6,
DOUGLASS VALLEY ELEMENTARY SCHOOL,1040,ACADEMY 20,E,,2248,0,,Kindergarten,5th Grade,Performance Plan,Performance Plan,,1,0,6,837,9,9,9,8,7,6,7,6,5,
ARAGON ELEMENTARY SCHOOL,1000,FOUNTAIN 8,E,,3102,0,,Pre-Kindergarten,5th Grade,Performance Plan,Performance Plan,,1,0,6,837,6,6,8,6,6,5,5,6,6,
VIRGINIA COURT ELEMENTARY SCHOOL,0180,ADAMS-ARAPAHOE 28J,E,,9140,0,,Pre-Kindergarten,5th Grade,Performance Plan,Performance Plan,,1,0,6,839,3,3,5,3,1,11,6,12,12,
BETHUNE JUNIOR-SENIOR HIGH SCHOOL,1490,BETHUNE R-5,M,,0842,0,,7th Grade,12th Grade,Performance Plan,Performance Plan,,1,0,6,839,5,6,4,6,5,6,8,5,8,
SURFACE CREEK VISION SCHOOL,0870,DELTA COUNTY 50(J),E,EMH,8419,0,,Kindergarten,12th Grade,Performance Plan,Performance Plan,Ratings combined across grade levels at district request,1,0,6,839,6,6,6,5,9,5,5,5,3,
SURFACE CREEK VISION SCHOOL,0870,DELTA COUNTY 50(J),M,EMH,8419,0,,Kindergarten,12th Grade,Performance Plan,Performance Plan,Ratings combined across grade levels at district request,1,0,6,839,6,7,3,6,6,6,9,5,6,
SMITH ELEMENTARY SCHOOL,0880,DENVER COUNTY 1,E,,8006,0,,Pre-Kindergarten,5th Grade,Performance Plan,Priority Improvement Plan,Deferred to district rating,1,0,6,839,2,3,3,2,1,9,12,9,6,
CARSON MIDDLE SCHOOL,1000,FOUNTAIN 8,M,,1332,0,,6th Grade,8th Grade,Performance Plan,Performance Plan,,1,0,6,839,6,6,5,6,6,7,7,6,7,
PATRIOT ELEMENTARY SCHOOL,1000,FOUNTAIN 8,E,,6338,0,,Pre-Kindergarten,5th Grade,Performance Plan,Performance Plan,,1,0,6,839,7,7,9,7,7,5,5,5,5,
LAB ELEMENTARY SCHOOL FOR CREATIVE LEARNING,1550,POUDRE R-1,E,,3791,0,,Kindergarten,6th Grade,Performance Plan,Performance Plan,,1,0,6,839,7,7,8,6,10,6,8,6,6,
WESTVIEW ELEMENTARY SCHOOL,0020,ADAMS 12 FIVE STAR SCHOOLS,E,,9494,0,,Kindergarten,5th Grade,Performance Plan,Performance Plan,,1,0,6,847,5,5,6,5,6,7,6,7,7,
HAXTUN ELEMENTARY SCHOOL,2630,HAXTUN RE-2J,E,EM,3846,0,,Pre-Kindergarten,8th Grade,Performance Plan,Performance Plan,Ratings combined across grade levels at district request,1,0,6,847,7,6,9,6,6,3,2,5,3,
HAXTUN ELEMENTARY SCHOOL,2630,HAXTUN RE-2J,M,EM,3846,0,,Pre-Kindergarten,8th Grade,Performance Plan,Performance Plan,Ratings combined across grade levels at district request,1,0,6,847,6,7,5,7,4,7,6,6,9,
HOLYOKE ELEMENTARY SCHOOL,2620,HOLYOKE RE-1J,E,,4076,0,,Kindergarten,5th Grade,Performance Plan,Performance Plan,,1,0,6,847,6,6,6,6,6,6,7,6,6,
KIOWA ELEMENTARY SCHOOL,0930,KIOWA C-2,E,,4724,0,,Pre-Kindergarten,5th Grade,Performance Plan,Performance Plan,,1,0,6,851,6,6,7,6,7,6,6,6,6,
COLUMBINE MIDDLE SCHOOL,2180,MONTROSE COUNTY RE-1J,M,,6054,0,,6th Grade,8th Grade,Performance Plan,Performance Plan,,1,0,6,851,6,7,5,7,6,6,6,6,6,
BILL REED MIDDLE SCHOOL,1560,THOMPSON R-2J,M,,5312,0,,6th Grade,8th Grade,Performance Plan,Performance Plan,,1,0,6,851,6,6,6,6,7,6,5,8,5,
ALTURA ELEMENTARY SCHOOL,0180,ADAMS-ARAPAHOE 28J,E,,0214,0,,Pre-Kindergarten,5th Grade,Performance Plan,Performance Plan,,1,0,6,854,2,1,3,2,1,10,6,13,9,
STRATTON ELEMENTARY SCHOOL,1010,COLORADO SPRINGS 11,E,,8346,0,,Pre-Kindergarten,5th Grade,Performance Plan,Performance Plan,,1,0,6,854,9,9,9,10,9,6,6,5,6,
CUSTER COUNTY ELEMENTARY SCHOOL,0860,CUSTER COUNTY SCHOOL DISTR,E,,2088,0,,Pre-Kindergarten,5th Grade,Performance Plan,Performance Plan,,1,0,6,854,7,7,9,6,7,5,5,5,5,
GARDEN PLACE ELEMENTARY SCHOOL,0880,DENVER COUNTY 1,E,,3296,0,,Pre-Kindergarten,5th Grade,Performance Plan,Performance Plan,,1,0,6,854,1,1,3,1,1,12,6,13,11,
MILLER MIDDLE SCHOOL,1520,DURANGO 9-R,M,,5888,0,,6th Grade,8th Grade,Performance Plan,Performance Plan,,1,0,6,854,9,9,6,9,9,6,6,6,6,
PANORAMA MIDDLE SCHOOL,0980,HARRISON 2,M,,6686,0,,6th Grade,8th Grade,Performance Plan,Performance Plan,,1,0,6,854,5,5,4,6,6,7,6,7,6,
HOEHNE ELEMENTARY SCHOOL,1600,HOEHNE REORGANIZED 3,E,,4044,0,,Pre-Kindergarten,6th Grade,Performance Plan,Performance Plan,,1,0,6,854,9,9,8,9,9,6,3,5,8,
ZERGER ELEMENTARY SCHOOL,1420,JEFFERSON COUNTY R-1,E,,9800,0,,Kindergarten,6th Grade,Performance Plan,Performance Plan,,1,0,6,854,6,6,6,6,6,6,6,5,6,
HUDSON ELEMENTARY SCHOOL,3090,KEENESBURG RE-3(J),E,,4148,0,,Pre-Kindergarten,6th Grade,Performance Plan,Performance Plan,,1,0,6,854,6,6,6,6,6,6,6,5,6,
LA VETA JUNIOR-SENIOR HIGH SCHOOL,1400,LA VETA RE-2,M,MH,4864,0,,7th Grade,12th Grade,Performance Plan,Performance Plan,Ratings combined across grade levels at district request,1,0,6,854,,6,5,6,,1,1,3,1,
OTIS JUNIOR-SENIOR HIGH SCHOOL,3050,OTIS R-3,M,,6586,0,,7th Grade,12th Grade,Performance Plan,Performance Plan,,1,0,6,854,6,7,6,9,7,6,6,4,6,
SALIDA MIDDLE SCHOOL,0500,SALIDA R-32,M,,4680,0,,5th Grade,8th Grade,Performance Plan,Performance Plan,,1,0,6,854,6,6,6,6,6,6,6,6,7,
SANFORD ELEMENTARY SCHOOL,0560,SANFORD 6J,E,,7612,0,,Pre-Kindergarten,6th Grade,Performance Plan,Performance Plan,,1,0,6,866,7,6,9,6,7,6,6,6,4,
SOUTH MIDDLE SCHOOL,0180,ADAMS-ARAPAHOE 28J,M,,8078,0,,6th Grade,8th Grade,Performance Plan,Performance Plan,,1,0,6,867,3,3,3,3,3,9,10,9,6,
NORTH FORK VISION SCHOOL,0870,DELTA COUNTY 50(J),E,EMH,9146,0,,Infant,12th Grade,Improvement Plan,Improvement Plan,Ratings combined across grade levels at district request,1,0,5,867,,5,5,3,,,,,,
NORTH FORK VISION SCHOOL,0870,DELTA COUNTY 50(J),M,EMH,9146,0,,Infant,12th Grade,Improvement Plan,Improvement Plan,Ratings combined across grade levels at district request,1,0,5,867,5,7,2,8,6,10,11,6,12,
LETFORD ELEMENTARY SCHOOL,3110,JOHNSTOWN-MILLIKEN RE-5J,E,,5078,0,,Pre-Kindergarten,5th Grade,Performance Plan,Performance Plan,,1,0,6,867,7,6,9,6,6,6,6,7,3,
BROOMFIELD HEIGHTS MIDDLE SCHOOL,0480,BOULDER VALLEY RE 2,M,,1066,0,,6th Grade,8th Grade,Performance Plan,Performance Plan,,1,0,6,871,6,7,6,7,6,6,6,6,5,
TELLER ELEMENTARY SCHOOL,0880,DENVER COUNTY 1,E,,8776,0,,Pre-Kindergarten,5th Grade,Performance Plan,Improvement Plan,Deferred to district rating,1,0,6,871,6,6,7,6,6,6,9,6,5,
GLENWOOD SPRINGS MIDDLE SCHOOL,1180,ROARING FORK RE-1,M,,3464,0,,6th Grade,8th Grade,Performance Plan,Performance Plan,,1,0,6,871,6,6,6,6,6,6,7,6,6,
STETSON ELEMENTARY SCHOOL,1110,FALCON 49,E,,8266,0,,Pre-Kindergarten,5th Grade,Performance Plan,Performance Plan,,1,0,6,874,9,7,9,9,7,5,5,5,5,
SPROUL JUNIOR HIGH SCHOOL,0990,WIDEFIELD 3,M,,8178,0,,7th Grade,8th Grade,Performance Plan,Performance Plan,,1,0,6,874,6,6,6,6,6,6,6,7,6,
CIMARRON MIDDLE,0900,DOUGLAS COUNTY RE 1,M,,0264,0,,7th Grade,8th Grade,Performance Plan,Performance Plan,,1,0,6,876,7,9,6,9,7,5,5,5,4,
SIERRA GRANDE ELEMENTARY SCHOOL,0740,SIERRA GRANDE R-30,E,,7876,0,,Kindergarten,5th Grade,Performance Plan,Performance Plan,,1,0,6,876,6,5,7,6,6,6,3,7,6,
KNAPP ELEMENTARY SCHOOL,0880,DENVER COUNTY 1,E,,4762,0,,Pre-Kindergarten,5th Grade,Performance Plan,Performance Plan,,1,0,6,878,2,1,5,2,1,9,10,9,6,
DESERT SAGE ELEMENTARY SCHOOL,2700,PUEBLO COUNTY 70,E,,0026,0,,Pre-Kindergarten,5th Grade,Performance Plan,Performance Plan,,1,0,6,878,7,6,9,6,7,6,3,8,6,
GREENWOOD ELEMENTARY SCHOOL,0880,DENVER COUNTY 1,E,EM,3647,0,,Pre-Kindergarten,8th Grade,Performance Plan,Improvement Plan,Ratings combined across grade levels at district request and deferred to district rating,1,0,6,880,3,3,5,5,2,4,6,4,3,
GREENWOOD ELEMENTARY SCHOOL,0880,DENVER COUNTY 1,M,EM,3647,0,,Pre-Kindergarten,8th Grade,Performance Plan,Improvement Plan,Ratings combined across grade levels at district request and deferred to district rating,1,0,6,880,5,5,6,6,3,12,9,12,12,
BANNING LEWIS RANCH ACADEMY,1110,FALCON 49,E,,0555,0,Charter,Kindergarten,8th Grade,Performance Plan,Performance Plan,,1,0,6,880,7,6,7,7,6,5,3,6,5,
TRUSCOTT ELEMENTARY SCHOOL,1560,THOMPSON R-2J,E,,8918,0,,Kindergarten,5th Grade,Performance Plan,Performance Plan,,1,0,6,880,6,6,6,4,6,6,7,9,4,
CAPROCK ACADEMY,8001,CHARTER SCHOOL INSTITUTE,E,EM,1279,0,Charter,Kindergarten,9th Grade,Performance Plan,Performance Plan,Ratings combined across grade levels at district request,1,0,6,884,7,8,6,7,9,5,6,3,5,
CAPROCK ACADEMY,8001,CHARTER SCHOOL INSTITUTE,M,EM,1279,0,Charter,Kindergarten,9th Grade,Performance Plan,Performance Plan,Ratings combined across grade levels at district request,1,0,6,884,6,8,5,9,6,7,7,6,9,
LIBERTY MIDDLE SCHOOL,0130,CHERRY CREEK 5,M,,0018,0,,6th Grade,8th Grade,Performance Plan,Performance Plan,,1,0,6,884,8,9,6,10,8,6,7,3,7,
PLACE BRIDGE ACADEMY,0880,DENVER COUNTY 1,E,EM,7045,0,,Pre-Kindergarten,8th Grade,Performance Plan,Improvement Plan,Ratings combined across grade levels at district request and deferred to district rating,1,0,6,884,1,1,2,1,1,10,8,12,9,
PLACE BRIDGE ACADEMY,0880,DENVER COUNTY 1,M,EM,7045,0,,Pre-Kindergarten,8th Grade,Performance Plan,Improvement Plan,Ratings combined across grade levels at district request and deferred to district rating,1,0,6,884,1,1,1,1,5,10,9,12,7,
BLEVINS MIDDLE SCHOOL,1550,POUDRE R-1,M,,0892,0,,6th Grade,8th Grade,Performance Plan,Performance Plan,,1,0,6,884,6,6,6,7,8,6,5,6,6,
CHERRY DRIVE ELEMENTARY SCHOOL,0020,ADAMS 12 FIVE STAR SCHOOLS,E,,2576,0,,Kindergarten,5th Grade,Performance Plan,Performance Plan,,1,0,6,890,6,5,6,5,5,6,6,6,6,
TRAYLOR ELEMENTARY SCHOOL,0880,DENVER COUNTY 1,E,,8888,0,,Pre-Kindergarten,5th Grade,Performance Plan,Improvement Plan,Deferred to district rating,1,0,6,890,6,6,6,6,5,6,6,6,7,
WYATT-EDISON CHARTER ELEMENTARY SCHOOL,0880,DENVER COUNTY 1,E,EM,9739,0,Charter,Kindergarten,8th Grade,Performance Plan,Performance Plan,Ratings combined across grade levels at district request,1,0,6,890,3,3,5,3,3,6,6,6,5,
WYATT-EDISON CHARTER ELEMENTARY SCHOOL,0880,DENVER COUNTY 1,M,EM,9739,0,Charter,Kindergarten,8th Grade,Performance Plan,Performance Plan,Ratings combined across grade levels at district request,1,0,6,890,4,5,3,5,2,12,13,13,6,
RIFLE MIDDLE SCHOOL,1195,GARFIELD RE-2,E,,7356,0,,5th Grade,8th Grade,Performance Plan,Performance Plan,,1,0,6,890,6,6,6,6,6,8,9,7,6,
WITT ELEMENTARY SCHOOL,1420,JEFFERSON COUNTY R-1,E,,9678,0,,Pre-Kindergarten,6th Grade,Performance Plan,Performance Plan,,1,0,6,890,6,6,6,6,6,6,5,6,5,
PETE MIRICH ELEMENTARY SCHOOL,3080,WELD COUNTY RE-1,E,,4852,0,,Pre-Kindergarten,5th Grade,Performance Plan,Performance Plan,,1,0,6,890,6,6,6,6,6,6,6,6,5,
EXPEDITIONARY LEARNING SCHOOL,9130,EXPEDITIONARY BOCES,E,,2840,0,,Kindergarten,12th Grade,Performance Plan,Performance Plan,,1,0,6,897,8,9,9,6,7,5,3,6,5,
RIDGWAY ELEMENTARY SCHOOL,2590,RIDGWAY R-2,E,,7342,0,,Pre-Kindergarten,5th Grade,Performance Plan,Performance Plan,,1,0,6,897,10,10,10,9,9,6,6,5,6,
LONGMONT ESTATES ELEMENTARY SCHOOL,0470,ST VRAIN VALLEY RE 1J,E,,5284,0,,Pre-Kindergarten,5th Grade,Performance Plan,Performance Plan,,1,0,6,897,8,7,9,8,6,5,6,3,6,
CARLSON ELEMENTARY SCHOOL,0540,CLEAR CREEK RE-1,E,,4212,0,,Pre-Kindergarten,6th Grade,Performance Plan,Performance Plan,,1,0,6,900,6,6,6,7,6,6,9,3,6,
HOWELL K-8 SCHOOL,0880,DENVER COUNTY 1,E,EM,4140,0,,Pre-Kindergarten,8th Grade,Performance Plan,Performance Plan,Ratings combined across grade levels at district request,1,0,6,900,1,1,2,1,3,6,7,6,6,
HOWELL K-8 SCHOOL,0880,DENVER COUNTY 1,M,EM,4140,0,,Pre-Kindergarten,8th Grade,Performance Plan,Performance Plan,Ratings combined across grade levels at district request,1,0,6,900,3,3,3,3,5,13,12,12,11,
